"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1841437294047174905","Wed Oct 02 11:17:17 +0000 2024","0","Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral BEF8CA saat registrasi. https://t.co/pZ7Q3u6Kol","1841437294047174905","","","in","","0","0","0","https://x.com/alfarislutfie09/status/1841437294047174905","1801947481892335616","alfarislutfie09"
"1841437125654233300","Wed Oct 02 11:16:37 +0000 2024","0","Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 6A04DC saat registrasi. https://t.co/jQPJcVr5FH","1841437125654233300","","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/OirkMan/status/1841437125654233300","2958665036","OirkMan"
"1841435511938072820","Wed Oct 02 11:10:12 +0000 2024","0","Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 8036A2 saat registrasi. https://t.co/oyMmMDs9Mr","1841435511938072820","","","in","","0","0","0","https://x.com/kimcibokeumbab/status/1841435511938072820","4535708654","kimcibokeumbab"
"1841425707689222225","Wed Oct 02 10:31:15 +0000 2024","0","Tolong rekomendasikan saya menu fore (coffee/non)","1841425707689222225","","","in","","0","7","0","https://x.com/fzrdwgstr/status/1841425707689222225","453721916","fzrdwgstr"
"1841388403621028207","Wed Oct 02 08:03:01 +0000 2024","0","lumayan dapet potongan voucher 50% up to 35% ada 3 voucher gasin ga sii Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral A54C30 saat registrasi. https://t.co/FZSVbubhor #jobreceh #zonauang","1841388403621028207","","","in","dean.","0","0","0","https://x.com/okienawaa/status/1841388403621028207","1241659413510799361","okienawaa"
"1841349287524938218","Wed Oct 02 05:27:35 +0000 2024","0","KOPI FORE GRATIS B1G1 &amp; DISKON 50%! Untuk pengguna baru cukup buat akun dengan referral ini : FAA744 8FEDF8 #ForeCoffee #Gratis https://t.co/YJX7gPpdxe","1841349287524938218","https://pbs.twimg.com/media/GY3JapBbwAAHi3I.jpg","","in","","0","0","0","https://x.com/tensevery/status/1841349287524938218","989465218911621120","tensevery"
"1841344065016824105","Wed Oct 02 05:06:50 +0000 2024","1","first time trying fore coffee!!! nyobain yg butterscotch seasalt latte gada fotonya karena udh gue minym setengah. lumayan bgt dpt diskon pengguna baru jg jd bayarnya cuma 50%","1841344065016824105","","","in","","0","1","0","https://x.com/azemays/status/1841344065016824105","1203245981560496128","azemays"
"1841334717876154372","Wed Oct 02 04:29:41 +0000 2024","0","Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral D231AB saat registrasi. https://t.co/2M2uqJmCdW","1841334717876154372","","","in","","0","1","0","https://x.com/falalanana/status/1841334717876154372","289268046","falalanana"
"1841285471873475044","Wed Oct 02 04:08:32 +0000 2024","0","@SoLegalAlien ke amplaz aja kak biar selesai nonton bisa mampir fore coffee.","1841329395098935307","","SoLegalAlien","in","Planet Pluto","0","1","0","https://x.com/aditkrisma/status/1841329395098935307","318812539","aditkrisma"
"1841329252559438314","Wed Oct 02 04:07:58 +0000 2024","0","Halo guys udah download apk Fore Coffee belum? Dapatkan diskon 50% sampai 3x maks. 35K/(b1g1) khusus pengguna baru Dengan masukkan kode referral 3F6F02 saat registrasi. ada birthday voucher b1g1 setiap tgl 25 dan buy2get3 setiap senin free upsize tiap weekend Promo fore https://t.co/906oFaQ2ja","1841329252559438314","https://pbs.twimg.com/media/GY23MZEaEAAI-Bj.jpg","","in","Indonesia","0","0","0","https://x.com/AnestyaRizky/status/1841329252559438314","1687942652","AnestyaRizky"
"1841317117188260016","Wed Oct 02 03:19:45 +0000 2024","0","Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 6AE4D4 saat registrasi. https://t.co/sfQavuPRNv","1841317117188260016","","","in","Indonesia","0","0","0","https://x.com/jaehyunjaesmile/status/1841317117188260016","1169984807889072128","jaehyunjaesmile"
"1841313800710156344","Wed Oct 02 03:06:34 +0000 2024","0","wts jual voc voucher fore coffee diskon 50% ALL ITEM fee 5k per voucher bebas minuman apa aja.kopi/non kopi ukuran reguler/large dan sandwich juga bisa. VOUCHER READY SISA SEDIKIT #zonauang #zonajajan #zonabu #wts #wtb #TimnasDay Elkan Mees hilgers Hubner Malik https://t.co/tMITySe09T","1841313800710156344","https://pbs.twimg.com/media/GY2pIRRasAASblA.jpg","","in","","0","0","0","https://x.com/SobadShopee/status/1841313800710156344","1676610715719725059","SobadShopee"
"1841305319563252131","Wed Oct 02 02:32:52 +0000 2024","0","Promo fore murah meriah! Dapat lebih dari 1 voucher gak perlu open rekening for qris wondr bni. Lewat aplikasi fore coffee bisa pakai kode refferal ini pas pertama download buat dapat minuman setengah harga. FD3F15 https://t.co/W3q0H3PDZe","1841305319563252131","https://pbs.twimg.com/media/GY2hbTUagAAO2Xs.jpg","","in","ৎ୭ wa:","1","0","0","https://x.com/sunkixs/status/1841305319563252131","1319217523758264320","sunkixs"
"1841298270313693222","Wed Oct 02 02:04:51 +0000 2024","0","Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 0F17C1 saat registrasi. https://t.co/by2UWePD7D Diskon fore promo fore kode referal fore","1841298270313693222","","","in","she/her 01's","0","0","0","https://x.com/hwangjin2503/status/1841298270313693222","1259203102697086976","hwangjin2503"
"1841297510008344822","Wed Oct 02 02:01:50 +0000 2024","0","KOPI FORE GRATIS B1G1 &amp; DISKON 50%! Untuk pengguna baru cukup buat akun dengan referral ini : FAA744 8FEDF8 #ForeCoffee #Gratis https://t.co/kYcH3Z04kn","1841297510008344822","https://pbs.twimg.com/media/GY2aU1Oa0AAEqau.jpg","","in","","0","0","0","https://x.com/tensevery/status/1841297510008344822","989465218911621120","tensevery"
