conversation_id_str,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1841437125654233300,Wed Oct 02 11:16:37 +0000 2024,0,Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 6A04DC saat registrasi. https://t.co/jQPJcVr5FH,1841437125654233300,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/OirkMan/status/1841437125654233300,2958665036,OirkMan
1841388403621028207,Wed Oct 02 08:03:01 +0000 2024,0,lumayan dapet potongan voucher 50% up to 35% ada 3 voucher gasin ga sii Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral A54C30 saat registrasi. https://t.co/FZSVbubhor #jobreceh #zonauang,1841388403621028207,in,dean.,0,0,0,https://x.com/okienawaa/status/1841388403621028207,1241659413510799361,okienawaa
1841285471873475044,Wed Oct 02 04:08:32 +0000 2024,0,@SoLegalAlien ke amplaz aja kak biar selesai nonton bisa mampir fore coffee.,1841329395098935307,in,Planet Pluto,0,1,0,https://x.com/aditkrisma/status/1841329395098935307,318812539,aditkrisma
1841329252559438314,Wed Oct 02 04:07:58 +0000 2024,0,Halo guys udah download apk Fore Coffee belum? Dapatkan diskon 50% sampai 3x maks. 35K/(b1g1) khusus pengguna baru Dengan masukkan kode referral 3F6F02 saat registrasi. ada birthday voucher b1g1 setiap tgl 25 dan buy2get3 setiap senin free upsize tiap weekend Promo fore https://t.co/906oFaQ2ja,1841329252559438314,in,Indonesia,0,0,0,https://x.com/AnestyaRizky/status/1841329252559438314,1687942652,AnestyaRizky
1841317117188260016,Wed Oct 02 03:19:45 +0000 2024,0,Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 6AE4D4 saat registrasi. https://t.co/sfQavuPRNv,1841317117188260016,in,Indonesia,0,0,0,https://x.com/jaehyunjaesmile/status/1841317117188260016,1169984807889072128,jaehyunjaesmile
1841305319563252131,Wed Oct 02 02:32:52 +0000 2024,0,Promo fore murah meriah! Dapat lebih dari 1 voucher gak perlu open rekening for qris wondr bni. Lewat aplikasi fore coffee bisa pakai kode refferal ini pas pertama download buat dapat minuman setengah harga. FD3F15 https://t.co/W3q0H3PDZe,1841305319563252131,in,ৎ୭ wa:,1,0,0,https://x.com/sunkixs/status/1841305319563252131,1319217523758264320,sunkixs
1841298270313693222,Wed Oct 02 02:04:51 +0000 2024,0,Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 0F17C1 saat registrasi. https://t.co/by2UWePD7D Diskon fore promo fore kode referal fore,1841298270313693222,in,she/her 01's,0,0,0,https://x.com/hwangjin2503/status/1841298270313693222,1259203102697086976,hwangjin2503
1841295709905223817,Wed Oct 02 01:54:41 +0000 2024,0,Ada promo Fore Coffee diskon 50% untuk pembelian pertama lewat aplikasi pake kode referral ini buat daftar yaa Kode referral: BDAABA https://t.co/4tYJaC24Vj,1841295709905223817,in,vancouver '23,0,0,0,https://x.com/seungcheolw2e/status/1841295709905223817,1682284724964950016,seungcheolw2e
1841252683275256307,Tue Oct 01 23:03:43 +0000 2024,0,Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 6A04DC saat registrasi. https://t.co/7BcmmM8cW3,1841252683275256307,in,Jakarta,0,0,0,https://x.com/Rio_D2Q/status/1841252683275256307,80601455,Rio_D2Q
1841134303041945625,Tue Oct 01 15:13:19 +0000 2024,0,ada yang punya kode referral fore coffee ga? sini aku pake kodenyaaa,1841134303041945625,in,ilhoon heart,0,3,0,https://x.com/changchubie/status/1841134303041945625,1159453231400886273,changchubie
1840944271186411814,Tue Oct 01 02:38:11 +0000 2024,0,Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 6A04DC saat registrasi. https://t.co/jQPJcVrDvf,1840944271186411814,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/OirkMan/status/1840944271186411814,2958665036,OirkMan
1840891535271076333,Mon Sep 30 23:08:38 +0000 2024,0,Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 6A04DC saat registrasi. https://t.co/7BcmmM8cW3,1840891535271076333,in,Jakarta,0,0,0,https://x.com/Rio_D2Q/status/1840891535271076333,80601455,Rio_D2Q
1840757060310532254,Mon Sep 30 14:14:17 +0000 2024,0,Dear Fore's Friends.... Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 6A04DC saat registrasi. https://t.co/jQPJcVrDvf,1840757060310532254,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/OirkMan/status/1840757060310532254,2958665036,OirkMan
