Date,Text,Normalized_Text_NLTK,Normalized_Text_Slang
07/2023,Fore dihati,fore dihati,fore dihati
07/2023,"Biasa pesen latte no sugar, menu terenak di fore menurutku itu double shaken latte!",biasa pesen latte no sugar menu terenak di fore menurutku itu double shaken latte,biasa pesen latte no gula menu terenak di fore menurutku itu double shaken latte
07/2023,Aku tim point coffee,aku tim point coffee,aku tim point coffee
07/2023,"Masih banyak sih, tapi rata-rata fore",masih banyak sih tapi ratarata fore,masih banyak sih tapi ratarata fore
07/2023,yg terakhir dalgona berkedok fore,yg terakhir dalgona berkedok fore,yang terakhir dalgona berkedok fore
07/2023,Coffee fav Ice blackcoffee - kopi kenangan (enak&murah) Hot Cappucino - Sushi Tei Cafe (enak banget),coffee fav ice blackcoffee  kopi kenangan enakmurah hot cappucino  sushi tei cafe enak banget,coffee favorit ice blackcoffee kopi kenangan enakmurah hot cappucino sushi tei cafe enak banget
07/2023,"Setuju Aku abis nyoba point coffee, malemnya ga bisa tidur. Alhasil melek sampe pagi",setuju aku abis nyoba point coffee malemnya ga bisa tidur alhasil melek sampe pagi,setuju aku habis nyoba point coffee malemnya tidak bisa tidur alhasil melek sampai pagi
07/2023,"Aku sukaaa 8/10 lah, dan sekarang pengen nyempetin coba matchanya fore",aku sukaaa  lah dan sekarang pengen nyempetin coba matchanya fore,aku sukaaa lah dan sekarang pengen nyempetin coba matchanya fore
07/2023,"Imo, sangat amat b aja untuk harga segitu apa mungkin gue salah mesen menu kali ya harusnya dpt yg enakan si. Tp kaum mensang mending macem ak, mendingan jajan fore kemana2 heu",imo sangat amat b aja untuk harga segitu apa mungkin gue salah mesen menu kali ya harusnya dpt yg enakan si tp kaum mensang mending macem ak mendingan jajan fore kemana heu,imo sangat amat b saja untuk harga segitu apa mungkin aku salah mesen menu kali iya harusnya dapat yang enakan si tapi kaum mensang lebih baik macam saya mendingan jajan fore kemana heu
07/2023,Same heree Point coffee ternyata enakk,same heree point coffee ternyata enakk,same heree point coffee ternyata enakk
07/2023,ini point coffee yg rasa apa nder?,ini point coffee yg rasa apa nder,ini point coffee yang rasa apa nder
07/2023,Sama point coffee jugaa tapi ini kopi saku wkwk,sama point coffee jugaa tapi ini kopi saku wkwk,sama point coffee jugaa tapi ini kopi saku wkwk
07/2023,Enak banget caramel machiato nya point coffee,enak banget caramel machiato nya point coffee,enak banget caramel machiato nya point coffee
07/2023,Buset 27 rebu mending point coffee langsung nder lebih enak :'),buset  rebu mending point coffee langsung nder lebih enak ,buset rebu lebih baik point coffee langsung nder lebih enak
07/2023,"abis gofood fore. finally ga classic latte lagi wkwk masa tiap beli kopi di fore classic latte mulu, keluar dr zona nyaman nyobain buterscotch sea salt latte kiww ternyata enakkk.",abis gofood fore finally ga classic latte lagi wkwk masa tiap beli kopi di fore classic latte mulu keluar dr zona nyaman nyobain buterscotch sea salt latte kiww ternyata enakkk,habis gofood fore finally tidak classic latte lagi wkwk masa tiap beli kopi di fore classic latte melulu keluar dr zona nyaman nyobain buterscotch sea salt latte kiww ternyata enakkk
07/2023,"gue juga lagi. baper sama masÂ² tomoro coffe. saking seringnya nugas disana, sampe dikenal padahal saat itu gue lagi gk pake kerudung krn take away",gue juga lagi baper sama mas tomoro coffe saking seringnya nugas disana sampe dikenal padahal saat itu gue lagi gk pake kerudung krn take away,aku juga lagi baper sama mas tomoro coffe saking seringnya nugas disana sampai dikenal padahal saat itu aku lagi gk pakai kerudung karena take away
07/2023,Pandan latte sih kalau fore mah,pandan latte sih kalau fore mah,pandan latte sih kalau fore mah
07/2023,gak akan bosen menyarankan butterscotch sea salt latte nya fore juaraaakkkk,gak akan bosen menyarankan butterscotch sea salt latte nya fore juaraaakkkk,gak akan bosen menyarankan butterscotch sea salt latte nya fore juaraaakkkk
