User;Text;Date;Tweet Link;Media Links;Reply To;Target;Mentions
@zril_not_zriel;berani, tapi tergantung kafe nya tuh kafe yang sendiri friendly atau ngga, contoh kafe yg sendirian friendly tu kaya fore, bx, excelso;2024-05-20T09:20:56.000Z;https://x.com/zril_not_zriel/status/1792485648601174384;[];@FOODFESS2;@zril_not_zriel;[]
@Dydydsha;Sering, ini pas lagi di fore;2024-05-20T08:19:56.000Z;https://x.com/Dydydsha/status/1792470297259753520;['https://pbs.twimg.com/media/GOAiOzjbUAAyb9x?format=jpg&name=900x900'];@FOODFESS2;@Dydydsha;[]
@pawladine;muffin cokelat fore alias makanan dr surga;2024-05-19T16:18:00.000Z;https://x.com/pawladine/status/1792228220563341535;['https://pbs.twimg.com/media/GN9GD_4b0AA8qAm?format=jpg&name=900x900'];@FOODFESS2;@pawladine;[]
@hi_bayuwiee;Untuk ke 259x ngasih rekomendasi kopi di Fore tuh Butterscotch sea salt latte dan Manuka berry Americano;2024-05-18T11:10:09.000Z;https://x.com/hi_bayuwiee/status/1791788360006250768;[];@FOODFESS2;@hi_bayuwiee;[]
@micacuw;Ak kurang suka tomoro, jd lebih mending fore atau point si. Fore yg sea salt, point palm sugar;2024-05-18T02:14:07.000Z;https://x.com/micacuw/status/1791653464780747180;[];@FOODFESS2;@micacuw;[]
@namunamuhe;kalo mau ngirit ya tomoro, kalo lagi KAYA ya fore;2024-05-17T06:46:08.000Z;https://x.com/namunamuhe/status/1791359529407619414;[];@FOODFESS2;@namunamuhe;[]
@asepdayat29;Endesnya sesuai urutan (versiku) : 1. Tuku 2. Stuja 3. Fore 4. Tomoro 5. Point coffee Itu semua request less sugar 50%;2024-05-17T01:05:50.000Z;https://x.com/asepdayat29/status/1791273889148043619;[];@FOODFESS2;@asepdayat29;[]
@sekaringtyas;Tapi matcha lattenya kopken tuh banyak residunya, nder. Prefer fore or point sih kalo matcha latte.;2024-05-16T15:47:00.000Z;https://x.com/sekaringtyas/status/1791133257154879959;[];@yagituulahweh;@sekaringtyas;[]
@meshiiuu;kmrn nemu ini harga 38k trs aku ngomel sm mbak dind, mending bli fore sekalian;2024-05-16T09:12:20.000Z;https://x.com/meshiiuu/status/1791033933859316074;[];@FOODFESS2;@meshiiuu;[]
@fairyydust99;aku dulu paling sering ke fore sama mcd (sebelum perboikotan) nder;2024-05-16T08:18:33.000Z;https://x.com/fairyydust99/status/1791020400329298098;[];@FOODFESS2;@fairyydust99;[]
@cherryngmybell;Dia ini manis bgt gasih ka ? Blom pernah nyoba fore;2024-05-16T04:57:20.000Z;https://x.com/cherryngmybell/status/1790969762576830903;[];@dariibigboss;@cherryngmybell;[]
