User;Text;Date;Tweet Link;Media Links;Reply To;Target;Mentions
@sibueairur;kalau aku janjiw gak terlalu suka malah aku berharapnya kopken ada versi gerobaknyaa wkwkw;2024-12-25T06:01:29.000Z;https://x.com/sibueairur/status/1871798399315640650;[];@na_2naa;@sibueairur;[]
@WUADUUUUUUH;kopken juga lagi;2024-12-23T18:58:30.000Z;https://x.com/WUADUUUUUUH/status/1871269164717092873;[];@FOODFESS2;@WUADUUUUUUH;[]
@gagajalapenomie;Strong semua tomoro. Mending ke kopken;2024-12-21T06:51:17.000Z;https://x.com/gagajalapenomie/status/1870361379934437510;[];@FOODFESS2;@gagajalapenomie;[]
@qwertyuais;@FOODFESS2 ada yang pernahh cobain milkbun kopken ga yaa? ripyuu nya dongg;2024-12-20T02:10:47.000Z;https://x.com/qwertyuais/status/1869928404302315732;[];;@qwertyuais;['FOODFESS2']
@serenedeals;Matchanya fore sih kak.. Tapi aku punya diskonnya kopken di shopee https://shopee.co.id/universal-link/now-food/storeListing/84856…;2024-12-18T09:11:49.000Z;https://x.com/serenedeals/status/1869309582734213151;[];@FOODFESS2;@serenedeals;[]
@lalaetude;kopi soe, janjiw, kopken, tomoro;2024-12-17T09:13:07.000Z;https://x.com/lalaetude/status/1868947524503175419;[];@FOODFESS2;@lalaetude;[]
@cheeseramyeonn;Beli di outlet kopken: 1. Pilih menu di kasir 2. Bayar pake Qris Blu (Pastiin saldonya cukup yaa) Selamat mencoba guyss, lumayan bangett promonyaa. Buruan dipake yaa sebelum kehabisann Kalo masih bingung gmn caranya, boleh tanya ke aku yaa;2024-12-17T03:49:09.000Z;https://x.com/cheeseramyeonn/status/1868865996024627472;[];@cheeseramyeonn;@cheeseramyeonn;[]
@Aadth_Achmed;Fore kakkkk tapi kopken juga udab proper;2024-12-17T03:46:22.000Z;https://x.com/Aadth_Achmed/status/1868865292467945778;[];@FOODFESS2;@Aadth_Achmed;[]
@expiredonuts;coffe: kalo suka creamy yg creamy aren latte, non-coffee: EARL GREY milk tea!!! enak polll aku blm nemu earl grey lbh enak drpd di kopken (tapi jarang ada di storenya) wkwk;2024-12-17T01:59:00.000Z;https://x.com/expiredonuts/status/1868838274124726744;[];@FOODFESS2;@expiredonuts;[]
@dzihniutarry;di kopken yg creamy apa ya kawan2? tolong rekom nyaa;2024-12-17T01:48:10.000Z;https://x.com/dzihniutarry/status/1868835548808593603;[];@FOODFESS2;@dzihniutarry;[]
@mochi__kenyal;Krn sendernya butuh rekomen kopinya, gue gak bisa kasih, krn menurut gue zonk semua. Satu2nya series terenak di kopken itu matcha series aja.;2024-12-17T01:16:01.000Z;https://x.com/mochi__kenyal/status/1868827458054898007;[];@FOODFESS2;@mochi__kenyal;[]
@kofiemilc_;soal takaran gulanya dicoba2 aja nderrr kopken tuuh cenderung ke maniiis jd hampir semua minuman milk basednya tuh kemanisan di aku. matchanya jg lumayan tp harus less sugar, wajib malah kalau ga over bgt manisnya;2024-12-17T01:01:49.000Z;https://x.com/kofiemilc_/status/1868823883828334771;[];@kofiemilc_;@kofiemilc_;[]
@intolovno;kopken & tuku sih nder;2024-12-16T16:12:07.000Z;https://x.com/intolovno/status/1868690578588004547;[];@FOODFESS2;@intolovno;[]
@ambreuliu;Butterscotch Sea Salt Latte Vanilla Latte Spanish Latte (tp varian ini udah kosong) Gue langganan kopken, bisa dibilang 3 varian ini yg masuk di gue. Gak creamy juga gak pait2 banget.;2024-12-16T15:31:28.000Z;https://x.com/ambreuliu/status/1868680348978335786;[];@FOODFESS2;@ambreuliu;[]
