Date,Text,Text Normalization,Label_Bert,Encoded_Label
04/2024,fore tukuuu,fore tukuuu,positive,2
03/2024,"Kalo beli yang fore junior dapet stiker kak, selagi persediaan masih ada",beli fore junior stiker kak persediaan,neutral,1
04/2024,"arabica, tuku, fore, point. tp seringnya point karna ada dimana mana wkwk",arabica tuku fore point coffee point coffee wkwk,positive,2
01/2024,"Matcha ya enakan arah coffee. Urutanku arah coffee > fore > kopken > point > janjiw. Banyak yang bilang point coffee enak, tapi ga seenak itu juga. Untuk ukuran matcha kurengggg. Kurang strong lah dibanding yang urutanku itu. Udah beli no sugar tapi dominan susunya",matcha iya enakan arah coffee urutanku arah coffee fore kopi kenangan point coffee janjiw bilang point coffee coffee enak seenak ukuran matcha kurengggg strong dibanding urutanku beli gula dominan susunya,negative,0
05/2024,Ataslah nderrr Enakann fore,ataslah nderrr enakann fore,positive,2
04/2024,"Tuku , calf, fore",tuku calf fore,neutral,1
09/2024,"gaiss, aku ga doyan kopi tapi fomo pengin minum kopi tolong dong rekomendasiin kopi yang gak bikin lambung berguncang, enakan tomoro, fore, kopken, atau janjiw. soalnya aku kalo minum kopi perutnya lgsg blubuk2",gaiss doyan kopi fomo pengin minum kopi rekomendasiin kopi gak bikin lambung berguncang enakan tomoro fore kopi kenangan janjiw minum kopi perutnya blubuk2,negative,0
04/2024,fore kenapa enak bgt ya kan jadi boros,fore enak banget iya kan boros,negative,0
04/2024,fore atau ga kopi soe,fore kopi soe,negative,0
05/2024,mending fore sekalian si,fore si,neutral,1
04/2024,Fore - tuku - pointcoffee - sisanya tergantung mood,fore tuku pointcoffee sisanya tergantung mood,neutral,1
05/2024,fore aja nder kl blm cobaa,fore cobaa,negative,0
04/2024,"sering nyobain pnya kaka w, yg enak fore ama point tp gue prefer point",nyobain pnya kakak enak fore point coffee prefer point coffee,positive,2
04/2024,"Famima buat yg murah , tuku tengah2, lil bit price fore",famima murah tuku tengah2 lil bit price fore,neutral,1
02/2024,point : matcha frappe tomoro : matcha oat latte fore : butterscotch sea salt haus : - Es teh indonesia : cokolateh DAH ITU SEMUA ENAK BGTT,point coffee matcha frappe tomoro matcha oat latte fore butterscotch sea salt haus es kakak perempuan indonesia cokolateh deh enak bgtt,positive,2
04/2024,"Semua enak kecuali famima hehe. Paling enak fore classic latte tanpa gula, nagih monang. Tapi yg masih mempan di gue beneran bisa bikin melek cuman point cafe sama nako double shot. Yg lain ga ngaruh, habis minum kopi lgsg bobo ya bisa.",enak famima he enak fore classic latte gula nagih monang mempan beneran bikin melek cuman point coffee cafe nako double shot berpengaruh habis minum kopi bobo iya,positive,2
03/2024,aku closingan pake ini mulu skrng jd kangen fore,closingan pakai melulu skrng kangen fore,negative,0
03/2024,harus fore?,fore,negative,0
04/2024,"Bener bgt ini, nyobain fore enak tp fore lebih creamy susu, matcha kopken masih berasa pait matcha nya lovvv. Kalo aku pesennya yg oatside matcha latte no sugar less ice",benar banget nyobain fore enak fore creamy susu matcha kopi kenangan berasa pait matcha nya lovvv pesennya oatside matcha latte gula ice,positive,2
04/2024,Hidup fore,fore,positive,2
01/2024,"Fore, flash, kopken, tomoro, tuku (kqtanya enak bgt tp aku blm coba) ayokk nder masi banyak ko",fore flash kopi kenangan tomoro tuku kqtanya enak banget coba ayokk masi ko,positive,2
04/2024,"janjiw, fore, point",janjiw fore point coffee,neutral,1
06/2024,ihh itu fore matcha cream strawberry yaaa rasanya absurd menurutkuu wkwkkw,ihh fore matcha cream strawberry yaaa absurd menurutkuu tertawa,negative,0
05/2024,"tuku, fore, kopi jaya",tuku fore kopi jaya,neutral,1
05/2024,"Enak banget ada Tuku yg dekat dengan lokasi kamu kalau dekat kantorku yg tinggal ngesot jalan kaki cuman fore, kopken ama sbux doank. Nahh skrg yg paling sering cuman ke fore doank",enak banget tuku lokasi kantorku ngesot jalan kaki cuman fore kopi kenangan starbucks doank nahh cuman fore doank,positive,2
12/2024,Fore kakkkk tapi kopken juga udab proper,fore kakkkk kopi kenangan udab proper,neutral,1
04/2024,tuku sama fore udh paling eh fore dulu baru tuku,tuku fore udah eh fore tuku,neutral,1
04/2024,fore & fami comfort bgt sih rasanya,fore fami comfort banget sih,positive,2
05/2024,penggemar Fore silakan drop link,penggemar fore silakan drop link,neutral,1
