Date,Text,Brand,Sentimen
01/2024,sumpah iya fore beli kopi toast kerja pulang tidur,fore,neutral
01/2024,fore dark chocom,fore,neutral
01/2024,tim matcha green tea classic milo beli fore sebenernya caramel macchiato enak sih opsi pengen,fore,positive
01/2024,fore bisaa turun harga promo goceng dehh,fore,neutral
01/2024,fore enak dikantor deket mall hampir beli fore wkwk,fore,positive
01/2024,minuman coklatcoklat fore enak yaa,fore,positive
01/2024,bagiku enak tuku fore pandan latte,fore,positive
01/2024,aaahhh sebelah selatannya iya bbrp kesana pas beloknya fore fore,fore,positive
01/2024,fore aplikasi,fore,neutral
01/2024,fore kak,fore,positive
01/2024,promoan iya fore,fore,neutral
01/2024,coba menu barunya fore,fore,positive
01/2024,loh admine ta cocok caramel praline frappe fore wkwkwk,fore,positive
01/2024,fore pakai voc promonya doang nyoba buttercream tiramissunya wallahi kesana muluuu enak ituu,fore,positive
01/2024,cokelat fore tuh seenak ituuuu sksksk cokelat fore gula tuh beuh terbaik,fore,positive
01/2024,adh kangen fore,fore,positive
01/2024,varian fore enakenak,fore,positive
01/2024,mjb tiramisu seasalt chocmint enak deskripsiin bedanya he fore,fore,positive
01/2024,dicoba cocomint fore,fore,neutral
01/2024,fore tu seenak,fore,positive
01/2024,fore enak hampir menunya enak,fore,positive
01/2024,choco mint coba besok fore,fore,neutral
01/2024,fore gada disinii,fore,positive
01/2024,duhhh bm fore kesampean pdahal deket kantor,fore,positive
01/2024,bangsat fore enak sih sore minum butterscotch tidur jam 5 pagi gabisa minum sore2 susah tidur minum pagi2 tempatnya enak kopi ges,fore,positive
01/2024,berani nyoba variant fore buttercreamnya coffee dijaga gerd soon cobain choco mintnya,fore,positive
01/2024,kopinya gak menu non kopi enaaak fore sih recommend guysss,fore,positive
01/2024,cobain sushi tei free sushi bday fore minuman gratis,fore,positive
01/2024,minum fore aman lambungkucmn gatau fore apalg,fore,neutral
01/2024,aaa pengen fore,fore,negative
01/2024,kebawa mimpii grgr penasaran nyobain kota ku uang fore,fore,positive
01/2024,gaaaakkkkk banget 2kali beli bandara gk wangi2nya harganya 30an fore,fore,negative
01/2024,beli fore kadang barista nyebut nama apal parkirnya fore,fore,neutral
01/2024,fore sertif halal nya gak si min,fore,negative
01/2024,nemu kakak cobain fore,fore,positive
01/2024,seliweran fore nyoba,fore,negative
01/2024,alias gatau bingung ujung ujungnya fore fore,fore,negative
01/2024,sebenernya coffee butterscoth fore difoto,fore,neutral
01/2024,fore indo point coffee,fore,neutral
01/2024,enak matcha fore point coffee coffee sih nderr,fore,positive
01/2024,pengabdi fore,fore,neutral
01/2024,enakan forekopken janjiw tuh kerasa susunya matchanya,fore,positive
01/2024,urutan versi sih lawson kopi kenangan point coffee fore janji jiwa,fore,neutral
01/2024,fore enak,fore,positive
01/2024,jujur enak kopi kenangan fore tu matchanya,fore,positive
01/2024,matcha iya enakan arah coffee urutanku arah coffee fore kopi kenangan point coffee janjiw bilang point coffee coffee enak seenak ukuran matcha kurengggg strong dibanding urutanku beli gula dominan susunya,fore,positive
01/2024,nyobain poin enak manis banget pdhl udah gula matchanya berasa cobain fore kopi kenangan kak enak matchanya berasa banget,fore,positive
01/2024,enak kopi kenangan fore,fore,positive
01/2024,coba buttercream choco mint nya fore terbaiik ituuu minuman nyegerin cobain hibiscus lychee peach yakult nyaa,fore,positive
01/2024,as matcha lovers sih suka diganti oatmilk tetep lidah ku enakan forekopkenpointlawson,fore,positive
01/2024,dark chocolate fore enak sugarless ice agak pait2 dikit menurutkuu mantepp,fore,positive
01/2024,suka beli nescafe boycott beli kopkenfore gula ngerasa kopi ginian manis banget bikin eneg,fore,positive
01/2024,fore point coffee coba kuat sih vanilla latte point coffee strong sih,fore,positive
01/2024,fore bilang habis minum fore ngrasa agak ecstatic iya kaya mendramatisir romantisasi perasaan,fore,negative
01/2024,cromboloni mille crepe menurutku kopi fore butterscotch sea salt latte,fore,positive
01/2024,fore enak matcha blend gasuka matcha strawberry blendnya enak,fore,positive
01/2024,saranin fore non coffee,fore,negative
01/2024,duuh pengen fore,fore,negative
01/2024,sedih tempatku gada fore,fore,negative
01/2024,gak suka fore gelasnya kecil,fore,negative
01/2024,laah iyaa beneerr wkwk favorit fore,fore,positive
01/2024,bikin tegal pekalongan semarang fore tt banget please,fore,neutral
01/2024,pengen fore,fore,neutral
01/2024,matcha fore enaaaak,fore,positive
01/2024,iyakan nderrr iya manisnya diawal minum mengeluh love fore diskonan,fore,positive
01/2024,iya ih fore esbatu nya kya beda cair nya gtu,fore,neutral
01/2024,iya ehh iya sidang temenku fore ku minum malam kuminum enakkk,fore,positive
01/2024,cup fore kecil memang berasa ketimbang upsize,fore,positive
01/2024,tempatku fore anjing males,fore,negative
01/2024,fore magic memang benar pelet nya bingung magic iya memang magic anjing mengerti pas udah resign wkwkkwk jujur fore memang enak sih rd nya gak maen2 bangga banget bagian perjalanan fore,fore,positive
01/2024,yaallah bner2 bm banget fore,fore,positive
01/2024,benar bangettt seneng kalii minum fore,fore,positive
01/2024,fore tetep dihati sih,fore,positive
01/2024,fore enak bgtt,fore,positive
01/2024,pesen fore gula,fore,positive
01/2024,kayak kopi2 fore butterscotchbuttercream,fore,positive
01/2024,frappe point coffee cafe enak kopi enakan fore,fore,positive
01/2024,fore enak banget,fore,positive
01/2024,fore enakk pointcoffee enak,fore,positive
01/2024,tuku kopi terenak suka kopi djournal coffee mention oke banget cobain salted caramelnya fore mall tempatnya cozy enak gawenongkrong menu kesukaan iced,fore,positive
01/2024,fore tuku si must try,fore,positive
01/2024,fore tuku,fore,positive
01/2024,banyakk fore kopi kenangan point coffee tomoro tuku,fore,positive
01/2024,fore sih,fore,negative
01/2024,fore excelso tuku,fore,positive
01/2024,fore enakkkk bangett suka promonya ko,fore,positive
01/2024,iya excelso sukanya kopi duarr nendang mata fore suka terang suka tengah2 janji jiwa kopi kenangan kualitasnya suka beda gerai 1 kopi point coffee kopi jadoelnya beanspot,fore,positive
01/2024,fore point coffee coffee jco coba kedai kopi lokal daerahmu barangkali enak bandung missbee providore fullmoon garmelia kopi teko jatinangor,fore,positive
01/2024,point coffee coffee si foreee,fore,positive
01/2024,forebeli butterscotch iniii enaaak banget,fore,positive
01/2024,fore point coffee coffee janjiw kopi kenangan 4,fore,neutral
01/2024,fore kopkem point coffee,fore,neutral
01/2024,fore cuyyyy enak banget,fore,positive
01/2024,point coffee coffee fore tuku kopi kenangan menurutku lbh enak dripada s buxxx,fore,positive
01/2024,fore tuku poin top 3,fore,neutral
01/2024,fore poin makmur jaya couve,fore,positive
01/2024,kebanggaanku fore point coffee coffee janjiw enak mayan,fore,positive
01/2024,tim fore,fore,positive
01/2024,tuku fore djournal deh paten,fore,neutral
