User;Text;Date;Tweet Link;Media Links;Reply To;Target;Mentions
@japstylecold;Kopken, janjiw manis bgt kaya orang lg minum gula. Kopi nako watery. Tommorow kopi all enak tp b aja. Point enak dan strong rekomen kl males manual brew. Fore enak dan manisnya pas tp kurang strong. Kalau mah creamy tp masih enak : Sapporo Kopi konnichiwa.;2024-04-03T22:52:20.000Z;https://x.com/japstylecold/status/1775657617865744724;['https://pbs.twimg.com/media/GKRnLpgbAAAfbCR?format=jpg&name=900x900'];@FOODFESS2;@japstylecold;[]
@fakhrizulfikar_;Fore coffee sih pertama kali tau karena cewe gw beli haha;2024-04-03T21:40:33.000Z;https://x.com/fakhrizulfikar_/status/1775639551299735733;[];@FOODFESS2;@fakhrizulfikar_;[]
@iskamudeh;Seleraku 1. Tuku 2. Fore 3. Tomoro 4. Point 5. Kopken;2024-04-03T21:36:26.000Z;https://x.com/iskamudeh/status/1775638514937593979;[];@FOODFESS2;@iskamudeh;[]
@hodophilenaz;Fore Point Janjiw Tomoro;2024-04-03T21:29:51.000Z;https://x.com/hodophilenaz/status/1775636859072467204;[];@FOODFESS2;@hodophilenaz;[]
@ZupperWin;Anomali-arabica-tuku-fore-tomoro-point;2024-04-03T21:20:09.000Z;https://x.com/ZupperWin/status/1775634415491674462;[];@FOODFESS2;@ZupperWin;[]
@andriiandori;Ini setuju bangetttt 1. Tuku 2. Fore apalagi yang butterscoth seasalt 3. Tomoro oat latte (terbest bangetttt 1000/10) 4. Point 5. Kopken (matcha espresso 1000/10);2024-04-03T21:10:55.000Z;https://x.com/andriiandori/status/1775632095169433673;[];@panac0tta;@andriiandori;[]
@Fauzyahfm;Fore , point coffe paling mantulll sih;2024-04-03T21:03:25.000Z;https://x.com/Fauzyahfm/status/1775630208219095414;[];@FOODFESS2;@Fauzyahfm;[]
@ReyustoSimorang;Tuku Point coffee Djournal Kopken Fore Jco Nako bolehlah Janji jiwa juga skrg udh oke semenjak rebranding;2024-04-03T20:19:14.000Z;https://x.com/ReyustoSimorang/status/1775619085327647085;[];@FOODFESS2;@ReyustoSimorang;[]
@olafgordonn;Famicafe, point, tuku, fore, tomorro. Baru nyobain itu2 ajaa hehee;2024-04-03T19:44:17.000Z;https://x.com/olafgordonn/status/1775610290996171075;[];@FOODFESS2;@olafgordonn;[]
@ouryansugian;fore ga pernah karna katanyah mahal..;2024-04-03T18:36:36.000Z;https://x.com/ouryansugian/status/1775593258028270058;[];@licayolaa;@ouryansugian;[]
@craveffeine;kalo berdasarkan yang di pic si aku pilih fore sama tuku;2024-04-03T17:57:32.000Z;https://x.com/craveffeine/status/1775583428064477365;[];@FOODFESS2;@craveffeine;[]
@jigongpenyu;fore sama tomoro masi jd kaporit w si;2024-04-03T17:50:01.000Z;https://x.com/jigongpenyu/status/1775581534369828886;[];@FOODFESS2;@jigongpenyu;[]
@bukan_inuu;1. Tomoro 2. Fore 3. Point Dah itu cukup;2024-04-03T17:34:07.000Z;https://x.com/bukan_inuu/status/1775577534111064575;[];@FOODFESS2;@bukan_inuu;[]
@spicyysugarr;Fore sih;2024-04-03T16:44:07.000Z;https://x.com/spicyysugarr/status/1775564953396875621;[];@FOODFESS2;@spicyysugarr;[]
@8rownshe2_;1. Tuku 2. Fore 3. Tomoro 4. Kopi susu keluarga 5. Kopi saku;2024-04-03T16:42:49.000Z;https://x.com/8rownshe2_/status/1775564622617288757;[];@FOODFESS2;@8rownshe2_;[]
@firfirasdf;Calf, tuku, fore & FM itu bestt;2024-04-03T16:41:31.000Z;https://x.com/firfirasdf/status/1775564296564674571;[];@FOODFESS2;@firfirasdf;[]
@kinderhazz;cuma kopken dan fore, klo yg lokal di palembang ada kopi agam itu enak bgtttt;2024-04-03T16:38:45.000Z;https://x.com/kinderhazz/status/1775563601547530512;[];@FOODFESS2;@kinderhazz;[]
@miitakk;point coffee sama fore sih;2024-04-03T16:18:59.000Z;https://x.com/miitakk/status/1775558628042522796;[];@FOODFESS2;@miitakk;[]
@beautflblur;the besttt yg beneran kopi trs gw cocok ituuu family mart yg hazelnut latte the best!! trs fore, djournal coffee, tuku yg middle level tp ok point coffee sm arah coffee sisanya anehhhh bc gw ga cocok;2024-04-03T16:15:18.000Z;https://x.com/beautflblur/status/1775557700145049694;[];@FOODFESS2;@beautflblur;[]
@anayveryn;Kopi Nako, Fore, Tuku;2024-04-03T16:10:43.000Z;https://x.com/anayveryn/status/1775556546631778557;[];@FOODFESS2;@anayveryn;[]
@iiaa_04;Tuku, point, fore;2024-04-03T16:10:24.000Z;https://x.com/iiaa_04/status/1775556468202496321;[];@FOODFESS2;@iiaa_04;[]
@KevinFarell;FORE dan POINT COFFEE JUARA, tapi yg biasa rasanya kadang masih suka beli kopi kenangan milonya dan janji jiwa yg kopi susu;2024-04-03T16:09:37.000Z;https://x.com/KevinFarell/status/1775556269417603244;[];@FOODFESS2;@KevinFarell;[]
@ojorewelae;Point coffee dolce sama fore fav beng beng ga ada obat;2024-04-03T16:08:09.000Z;https://x.com/ojorewelae/status/1775555901568823754;[];@FOODFESS2;@ojorewelae;[]
@cccchax;fore sihh kata akuu;2024-04-03T16:01:02.000Z;https://x.com/cccchax/status/1775554110106038768;[];@zellostinterest;@cccchax;[]
@01skiddo;kopken, fore, tuku, point, tomoro, famima ini gue sebutin random, bukan urutan terenak. kl masalah enak/ga tergantung mood maunya beli apa.;2024-04-03T15:59:09.000Z;https://x.com/01skiddo/status/1775553637206667656;[];@FOODFESS2;@01skiddo;[]
@jcatpaws;Rekomen merk kopi yg aman dilambung dong guys (selain fore karena udh terlalu sering minum ituhh).;2024-04-03T15:55:39.000Z;https://x.com/jcatpaws/status/1775552754519588868;[];@FOODFESS2;@jcatpaws;[]
@ceweug;1. Tuku!!! ( belum nemu kopi susu gula aren yg lebih enak dari tuku versi gue ) 2. Fore butterscotch latte ( ekstra sea salt cream, less ice) enakk bgt tapi kalorinya gausah dipikirin 3. point coffee ( menu apa aja enak di point, sering promo, sering diskon);2024-04-03T15:45:25.000Z;https://x.com/ceweug/status/1775550177719583217;[];@FOODFESS2;@ceweug;[]
@uknowhoiaam;Belum ketemu tuku enaknya dimana, fore butterscotch sea salt itu kopi terenak yg pernah masuk lidah gw;2024-04-03T15:43:36.000Z;https://x.com/uknowhoiaam/status/1775549724072067524;[];@FOODFESS2;@uknowhoiaam;[]
@NendenAlifa;1. Arabica % 2. Tuku 3. Fore 4. Animo 5. Di bawah tangga 6. Famima 7. Janji Jiwa 8. Kopken 9. Point 10. Tomoro;2024-04-03T15:40:28.000Z;https://x.com/NendenAlifa/status/1775548935203070287;[];@FOODFESS2;@NendenAlifa;[]
@wishesofpeony;TUKU MY LOVE TERUS FORE TERUS NAKO BOLEHLAH, arabica enak tp ovp jd kayaknya beda tingkatan sama mereka deh harusnya masuknya;2024-04-03T15:31:16.000Z;https://x.com/wishesofpeony/status/1775546619007807842;[];@FOODFESS2;@wishesofpeony;[]
@miniellapink;berdasarkan yg pernah tak coba 1. Fore butterscotch 2. kopken latte oatside 3. point palm coffee 4. janji jiwa;2024-04-03T15:15:35.000Z;https://x.com/miniellapink/status/1775542670934601783;[];@FOODFESS2;@miniellapink;[]
@unholyspacee;tuku, fore, %;2024-04-03T15:07:40.000Z;https://x.com/unholyspacee/status/1775540678501777538;[];@FOODFESS2;@unholyspacee;[]
@leciii45;tuku fore tomoro dah paling pas di lidah w;2024-04-03T15:04:40.000Z;https://x.com/leciii45/status/1775539923287974090;[];@FOODFESS2;@leciii45;[]
@iamdaredevil_1;kopken (juwara beans) tuku fore (enak dia gurih) janjiw . . . . . . . . . . . . . kopi abc susu . . . . . . tomoro;2024-04-03T14:50:21.000Z;https://x.com/iamdaredevil_1/status/1775536320649261077;[];@FOODFESS2;@iamdaredevil_1;[]
@kyoghh;Fore, kulo . Sebetulnya ada satu lagi sih tapi cuman di bogor yaitu popolo. Enak banget;2024-04-03T14:44:14.000Z;https://x.com/kyoghh/status/1775534782287581353;[];@FOODFESS2;@kyoghh;[]
@resssska;fore & fami comfort bgt sih rasanya;2024-04-03T14:37:26.000Z;https://x.com/resssska/status/1775533068939579868;[];@FOODFESS2;@resssska;[]
@fyasthing;Versi ku 1. Tuku 2. Fore 3. Calf;2024-04-03T14:37:22.000Z;https://x.com/fyasthing/status/1775533052204384403;[];@FOODFESS2;@fyasthing;[]
@airaawrr;masih fore caramel praline sih;2024-04-03T14:22:38.000Z;https://x.com/airaawrr/status/1775529346557698325;[];@FOODFESS2;@airaawrr;[]
@koopiitubruk;Tuku dan fore sih, favorite banget;2024-04-03T14:18:55.000Z;https://x.com/koopiitubruk/status/1775528408711393284;[];@FOODFESS2;@koopiitubruk;[]
@trxzhr;fore enak bgt! tapi boncos aing kl fore mulu;2024-04-03T14:00:30.000Z;https://x.com/trxzhr/status/1775523776169758939;[];@FOODFESS2;@trxzhr;[]
@Crushnyajamal;Tuku, fore, flash;2024-04-03T13:52:34.000Z;https://x.com/Crushnyajamal/status/1775521777579601934;[];@FOODFESS2;@Crushnyajamal;[]
@cepeng;Fore, point, kopi soe;2024-04-03T13:36:13.000Z;https://x.com/cepeng/status/1775517665890865292;[];@FOODFESS2;@cepeng;[]
@for_zhao;Fore sm point coffe, blm nyoba tomoro jd no comment;2024-04-03T13:34:56.000Z;https://x.com/for_zhao/status/1775517342182867386;[];@FOODFESS2;@for_zhao;[]
@Astrozphile;Fore point dan tuku;2024-04-03T13:33:23.000Z;https://x.com/Astrozphile/status/1775516951122731198;[];@FOODFESS2;@Astrozphile;[]
@Wulanmije;Tuku, fore, nako.. udah itu aja yg terbaik;2024-04-03T13:26:14.000Z;https://x.com/Wulanmije/status/1775515154463273002;[];@FOODFESS2;@Wulanmije;[]
@ejoneee;tuku fore persen;2024-04-03T13:25:37.000Z;https://x.com/ejoneee/status/1775514998745506238;[];@FOODFESS2;@ejoneee;[]
@marklovers99;sbux (dah ak boikot ygy) point nako kopken fore janjiw;2024-04-03T13:20:47.000Z;https://x.com/marklovers99/status/1775513782196076942;[];@FOODFESS2;@marklovers99;[]
@aphrodiethh;kopi kenangan, point, sm fore.;2024-04-03T13:16:15.000Z;https://x.com/aphrodiethh/status/1775512639101341968;[];@FOODFESS2;@aphrodiethh;[]
@gdealdilegawa;Tuku & Fore;2024-04-03T13:15:51.000Z;https://x.com/gdealdilegawa/status/1775512537762783249;[];@FOODFESS2;@gdealdilegawa;[]
@baelooksgo0d;kemarin baru nyoba fore trnyataa enakkk tp lupa barian apa soalnya dibeliin xixixi;2024-04-03T13:05:22.000Z;https://x.com/baelooksgo0d/status/1775509903047795097;[];@FOODFESS2;@baelooksgo0d;[]
@botolyakkult;fore woi enak banget;2024-04-03T13:04:43.000Z;https://x.com/botolyakkult/status/1775509737020461249;[];@FOODFESS2;@botolyakkult;[]
@notchlapel;Menurut gw dr base kopi mereka ya.. 1. Fore 2. Kopken 3. Arabica;2024-04-03T13:03:14.000Z;https://x.com/notchlapel/status/1775509362674745818;[];@FOODFESS2;@notchlapel;[]
@ellyaqul;Dah mending beli di fore aja drpd pusing bikin butterscotch min;2024-04-03T12:58:20.000Z;https://x.com/ellyaqul/status/1775508129268293900;[];@pvndvmlvks;@ellyaqul;[]
