User;Text;Date;Tweet Link;Media Links;Reply To;Target;Mentions
@mitoscreature;Aku beli fore junior ga dikasi stiker;2024-12-29T19:27:41.000Z;https://x.com/mitoscreature/status/1873450838125097163;[];@FOODFESS2;@mitoscreature;[]
@your50percent;aku kalo ke fore belinya yang junior terus wkwkwk;2024-12-29T11:22:00.000Z;https://x.com/your50percent/status/1873328612981760402;[];@FOODFESS2;@your50percent;[]
@tetehsunny;Ni btw menu juniornya fore apa aja yang enak?;2024-12-29T11:02:39.000Z;https://x.com/tetehsunny/status/1873323743004741838;[];@FOODFESS2;@tetehsunny;[]
@traumacod34d;fore junior lebih mantep mana dapet stiker;2024-12-29T10:36:54.000Z;https://x.com/traumacod34d/status/1873317260099793115;[];@FOODFESS2;@traumacod34d;[]
@donatkentangin;Ih kemaren ak beli fore junior ga dapet stiker :(;2024-12-29T03:40:13.000Z;https://x.com/donatkentangin/status/1873212399798661335;[];@FOODFESS2;@donatkentangin;[]
@16O7O1_;Bener bgt, aku di fore cuma pesen fore junior butuh upsize !!;2024-12-29T03:26:22.000Z;https://x.com/16O7O1_/status/1873208913635754473;[];@UareDestinyy;@16O7O1_;[]
@canyenya;OKKKKK MENU YANG AKAN KUBELI KALO KE FORE;2024-12-28T18:11:44.000Z;https://x.com/canyenya/status/1873069337583681577;[];@FOODFESS2;@canyenya;[]
@emangkitaapa;Kl ga dapet berarti abis ka, soalnya tiap pembelian fore junior pasti selalu dapet kl masih ada stok nya;2024-12-28T17:14:21.000Z;https://x.com/emangkitaapa/status/1873054894321746249;[];@mbakbulans;@emangkitaapa;[]
@cloudsunmoon02_;Minuman fore junior tuh ukurannya lebih kecil dari yg reguler atau sama ajaa kek reguler nder? Non coffee semua tapi bisa less sugar kan?;2024-12-28T16:00:04.000Z;https://x.com/cloudsunmoon02_/status/1873036201416114459;[];@FOODFESS2;@cloudsunmoon02_;[]
@siurnius;Kakah gue sukanya jajan kopi di fore, jadi dia sering jajan di fore karna dapet stiker mulu terus di kasih ke gue stikernya;2024-12-28T15:14:49.000Z;https://x.com/siurnius/status/1873024816141484400;[];@FOODFESS2;@siurnius;[]
@eonniiiiii;makanya ada yg bilang kl kopi fam itu versi murahnya fore yaa;2024-12-26T04:23:23.000Z;https://x.com/eonniiiiii/status/1872136101160468579;[];@ohmsawat;@eonniiiiii;[]
@ohmsawat;Fore jelas. Beda harga kak;2024-12-26T01:24:31.000Z;https://x.com/ohmsawat/status/1872091086728073707;[];@eonniiiiii;@ohmsawat;[]
@eonniiiiii;Sama fore enakan mana butterscotch nya?;2024-12-25T17:35:31.000Z;https://x.com/eonniiiiii/status/1871973060456386929;[];@jinjamoella;@eonniiiiii;[]
