User;Text;Date;Tweet Link;Media Links;Reply To;Target;Mentions
@esteamaniss;Dua kali. Kopi Kenangan Mantan dan Fore Buttercream Tiramisu Latte;2024-12-23T17:03:43.000Z;https://x.com/esteamaniss/status/1871240282186105328;[];@FOODFESS2;@esteamaniss;[]
@hehermi1;Dua shots ice shaken sm kopi kenangan mantan;2024-12-18T02:26:18.000Z;https://x.com/hehermi1/status/1869207533875060807;[];@FOODFESS2;@hehermi1;[]
@Panel_12;Kopi kenangan mantan , less cofee , normal sugar , extra ice;2024-12-17T05:13:36.000Z;https://x.com/Panel_12/status/1868887246574866896;[];@FOODFESS2;@Panel_12;[]
@anaknya_ikjun;kopi kenangan mantan less sugar enak bgt;2024-12-17T04:48:49.000Z;https://x.com/anaknya_ikjun/status/1868881010420822357;[];@FOODFESS2;@anaknya_ikjun;[]
@babyandruby;App kopi kenangan kak;2024-12-17T01:36:29.000Z;https://x.com/babyandruby/status/1868832608563675345;[];@akusiputrisalju;@babyandruby;[]
@kofiemilc_;selalu beli yg kopi kenangan mantan (normal sugar) sm creamy aren latte (less sugar) pake juwara beans, aku ngerasanya beda aja sm yg kenangan beans lebih enak pake juwara beans. milknya yg biasa aja udh enak tp kalau mau lebih enak+gurih ganti pake outside;2024-12-17T01:00:17.000Z;https://x.com/kofiemilc_/status/1868823495716880538;[];@FOODFESS2;@kofiemilc_;[]
@vibranzt;kopi kenangan mantannya udah paling enak;2024-12-16T16:19:01.000Z;https://x.com/vibranzt/status/1868692317823287636;[];@FOODFESS2;@vibranzt;[]
@kitnacasin;kopi kenangan mantan pake outside atau ga creamy aren latte, itu paling top ga pernah ganti ganti!!;2024-12-16T15:58:55.000Z;https://x.com/kitnacasin/status/1868687257286406387;[];@FOODFESS2;@kitnacasin;[]
@haneulblueee;kopi kenangan mantan tp yg freezy kakk;2024-12-16T14:03:04.000Z;https://x.com/haneulblueee/status/1868658104034021663;[];@jinniezhyun;@haneulblueee;[]
@bbongiebong;Kopi kenangan mantan;2024-12-16T13:32:07.000Z;https://x.com/bbongiebong/status/1868650313970078148;[];@FOODFESS2;@bbongiebong;[]
@nreadingacc;coffee : kopi kenangan mantan pake juwara beans + oatside dan less sugar, ice normal non coffee : avocado caramel (the best);2024-12-16T12:59:22.000Z;https://x.com/nreadingacc/status/1868642074549248225;[];@FOODFESS2;@nreadingacc;[]
@hhateverythings;outside kopi kenangan mantan trus upgrade ke juwara beans;2024-12-16T12:21:20.000Z;https://x.com/hhateverythings/status/1868632501650166042;[];@FOODFESS2;@hhateverythings;[]
@xozoroll;kopi kenangan mantan, kopi susu gula aren, creamy aren latte;2024-12-16T12:18:43.000Z;https://x.com/xozoroll/status/1868631844935376965;[];@FOODFESS2;@xozoroll;[]
@ngopidulucoyy;aku sama adekku selalu pesen kopi kenangan nder (yg matcha suamiku). pernah nyoba cafe latte tapi agak pait buatku jd balik lg ke kopkennya;2024-12-16T11:46:35.000Z;https://x.com/ngopidulucoyy/status/1868623755829989524;['https://pbs.twimg.com/media/Ge6vY41agAA1uYX?format=jpg&name=small', 'https://pbs.twimg.com/media/Ge6vY43bYAA_haY?format=jpg&name=small', 'https://pbs.twimg.com/media/Ge6vY4_bIAAgWRB?format=jpg&name=small'];@FOODFESS2;@ngopidulucoyy;[]
@fullsuniexs;kopi kenangan mantan sama matcha latte nya tetep jadi kecintaanku sih, tapi harus less sugar;2024-12-16T09:51:14.000Z;https://x.com/fullsuniexs/status/1868594726246711529;[];@FOODFESS2;@fullsuniexs;[]
@theavocadolatte;Creamy aren latte sama kopi kenangan mantan slalu jd favku nderr;2024-12-16T09:19:01.000Z;https://x.com/theavocadolatte/status/1868586619034632492;[];@FOODFESS2;@theavocadolatte;[]
@emilda_syamsir;Nangis bgt kopi kenangan mantan di bilang ga enak HAHAHAHA;2024-12-16T09:05:15.000Z;https://x.com/emilda_syamsir/status/1868583154665361745;[];@hardhene;@emilda_syamsir;[]
@dipanggilnyadev;coffee: outside kopi kenangan mantan, kl gamau manis bisa less sugar. tapi yg paling aku suka itu creamy aren latte, lebih creamy dari kenangan mantan tapi kopinya tetep berasa dan lebih manis mungkin bisa less sugar non-coffee: kl mau seger bisa raspberry hibiscus tp agak asem-;2024-12-16T08:47:33.000Z;https://x.com/dipanggilnyadev/status/1868578701853811133;[];@FOODFESS2;@dipanggilnyadev;[]
@budabibako;Kalo kopinya one and only kenangan mantan, kalo non kopi matcha sm thai tea. Semuanya less sugar dan less ice;2024-12-16T08:16:11.000Z;https://x.com/budabibako/status/1868570809163461116;[];@FOODFESS2;@budabibako;[]
@huaaghmiloo;kopi kenangan mantan less sugar nya udah paling penting enak nder, aku nyoba beberapa menu lain, tapi tetep itu sih paling enak, murah lagii;2024-12-16T08:05:07.000Z;https://x.com/huaaghmiloo/status/1868568023269032029;[];@FOODFESS2;@huaaghmiloo;[]
@leinreee;Thai tea, thai green tea sama kopi kenangan mantan sih enak;2024-12-16T07:56:58.000Z;https://x.com/leinreee/status/1868565970786377877;[];@FOODFESS2;@leinreee;[]
@143100percents;promo kopi kenangan apa tuh?;2024-11-27T09:27:17.000Z;https://x.com/143100percents/status/1861703331229655082;[];@FOODFESS2;@143100percents;[]
@eonniiiiii;Cuma pengen ngambil yg kopken ternyata hanya berlaku untuk kopi susu gula aren bukan yg kenangan mantan jd ga jadi ambil promo;2024-11-27T06:17:50.000Z;https://x.com/eonniiiiii/status/1861655655909859342;[];@FOODFESS2;@eonniiiiii;[]
@n1kud0n;Matcha feel sama kopi kenangan sejauh ini yg paling aku suka nyeduh sendiri blm pernah takut ga enak;2024-11-19T22:56:18.000Z;https://x.com/n1kud0n/status/1859007823595925648;[];@FOODFESS2;@n1kud0n;[]
@alatifahh_;Kopi Kenangan Oatside Matcha Latte;2024-11-19T12:20:04.000Z;https://x.com/alatifahh_/status/1858847710238916983;['https://pbs.twimg.com/media/Gcv0JBzbcAMWocK?format=jpg&name=large'];@FOODFESS2;@alatifahh_;[]
@minyoonjiah;Kalo di jogja Peringkat 1 : houji Peringkat 2 : couvee Peringkat 3 : kopi kenangan (less sugar) Sementara itu sih, belom nyobain matcha cult. Besok kalo dah coba gatau peringkatnya bakal berubah gk wkaka;2024-11-19T11:34:58.000Z;https://x.com/minyoonjiah/status/1858836362100965886;[];@FOODFESS2;@minyoonjiah;[]
@nugrahafq;kopi kenangan nder abis minum ini gw tremor, soalnya ga toleran sama kopi;2024-11-19T11:08:43.000Z;https://x.com/nugrahafq/status/1858829755891806448;['https://pbs.twimg.com/media/Gcvjz-SbkAAzXXV?format=jpg&name=medium'];@FOODFESS2;@nugrahafq;[]
@archbyegbite_;Kalau produk kemasan merk Zenlatte / matchamu, kalau coffe shop jogja ada di couve, matcha cult, kedai kopi kulo dan kopi kenangan (General);2024-11-19T09:46:20.000Z;https://x.com/archbyegbite_/status/1858809023677542662;[];@FOODFESS2;@archbyegbite_;[]
@ayuusnn;oatsaide matcha latte no sugar nya kopi kenangan jugaa enakk;2024-11-19T08:27:01.000Z;https://x.com/ayuusnn/status/1858789059445014995;[];@FOODFESS2;@ayuusnn;[]
@lorohiji;point ga terlalu berasa matchanya karna aku pesen yg frappe kopi kenangan enak tuh ada yg pake oatside aku belum coba feel matchaaa yg juara tomoro oatside;2024-11-19T06:46:34.000Z;https://x.com/lorohiji/status/1858763782698230113;[];@FOODFESS2;@lorohiji;[]
@alfi_naba;Kopi kenangan x oatside enak bgt matchanya;2024-11-19T03:43:29.000Z;https://x.com/alfi_naba/status/1858717705714758030;[];@FOODFESS2;@alfi_naba;[]
@Gausah_kep0o;Klo mw murah Kopi Kenangan enakkk, matcha nya strong ada pait paitnya. Point coffee matcha ice jg enaa cmn dia lebih ke rasa susu sedikitt. Sama feel matchaaa ENAK BANGETSS. Selain itu gasuka cm matcha ala ala doang;2024-11-19T03:11:21.000Z;https://x.com/Gausah_kep0o/status/1858709621143466084;[];@FOODFESS2;@Gausah_kep0o;[]
@minzeag;Matcha nya kopi kenangan enak nder;2024-11-19T01:24:41.000Z;https://x.com/minzeag/status/1858682776259883430;[];@FOODFESS2;@minzeag;[]
@just_yourtasya;Menu kopi kenangan yang oatside magic matcha latte itu enakkkkkkkk bangetttt. Dia ada tambahan SKM nya jadi bikin matchanya ga pait banget dan balance gitu rasanya sama oatsidenya bikin jadi lebih 'gurih'(?) Pokoknya enak dahhh;2024-11-18T18:15:16.000Z;https://x.com/just_yourtasya/status/1858574711342723504;[];@FOODFESS2;@just_yourtasya;[]
@syalaraaa;Matcha nya kopi kenangan enak banget, pesen nya less sugar, udah pas bgt manisnya;2024-11-18T11:21:02.000Z;https://x.com/syalaraaa/status/1858470465142194302;[];@FOODFESS2;@syalaraaa;[]
@journesty;matcha tomoro, kopi kenangan, point coffee. selebihnya blm prnh ngerasain menu matcha lainnya;2024-11-18T10:43:36.000Z;https://x.com/journesty/status/1858461047180657028;[];@FOODFESS2;@journesty;[]
@bobaes98;Kopi kenangan mantan;2024-11-18T07:10:06.000Z;https://x.com/bobaes98/status/1858407315621450011;['https://pbs.twimg.com/media/GcpjkdObEAADViA?format=jpg&name=900x900'];@FOODFESS2;@bobaes98;[]
@hopeulicious;"Kalo ada ""creamy aren latte"" pesen itu aja beb yg less sugar Kalo gaada pesen kopi kenangan mantan yg less sugar aja signaturenya udh enak bgt";2024-10-31T16:10:26.000Z;https://x.com/hopeulicious/status/1852020313401495981;[];@FOODFESS2;@hopeulicious;[]
@freisstea;Kopi kenangan mantan;2024-10-31T11:28:10.000Z;https://x.com/freisstea/status/1851949281466552751;[];@FOODFESS2;@freisstea;[]
@ndaakyeomie;americano enakkk, kopi kenangan mantan no sugar lovvv;2024-10-31T09:02:07.000Z;https://x.com/ndaakyeomie/status/1851912523760701539;[];@FOODFESS2;@ndaakyeomie;[]
@haniyyyy_;HAHAHA KOPI KENANGAN SELALU;2024-10-28T10:47:27.000Z;https://x.com/haniyyyy_/status/1850851868425257191;['https://pbs.twimg.com/media/Ga-L9v-a8AAsSGQ?format=jpg&name=900x900'];@FOODFESS2;@haniyyyy_;[]
@Anglcaa;di beberapa gerai kopi kenangan, mereka ada jual soft cookies harganya 12rban/pc dan rasanya lumayan ok bgtt;2024-10-02T02:34:49.000Z;https://x.com/Anglcaa/status/1841305810863055275;['https://pbs.twimg.com/media/GY2h4DlbAAA_M7X?format=jpg&name=medium'];@FOODFESS2;@Anglcaa;[]
@anomalimot;kopi kenangan;2024-10-01T12:13:33.000Z;https://x.com/anomalimot/status/1841089066189930558;[];@FOODFESS2;@anomalimot;[]
@abcxdefu;tadi beli kopi kenangan tapi ga ada foto;2024-09-29T14:13:26.000Z;https://x.com/abcxdefu/status/1840394457210134633;[];@FOODFESS2;@abcxdefu;[]
@praditaadevi;4/5 karena terlalu strong, 5/5 kopi kenangan;2024-09-28T15:14:59.000Z;https://x.com/praditaadevi/status/1840047562201673755;[];@FOODFESS2;@praditaadevi;[]
@cloudifans;Sorry, exelso tetep dihati, kopi kenangan sama jokopi fav, poin coffe juga ga kalah enak, kopi tuku unnderrate yang ga bakal bisa diganti, fore buat main main, kopi calf kopi selingan lain. Selain brand yang itu buanyak banget kopi lokal yang enak juga.;2024-09-26T00:05:01.000Z;https://x.com/cloudifans/status/1839093784417808447;[];@FOODFESS2;@cloudifans;[]
@duniakamuu;kopken yg kenangan mantan/double shaken, fore yang butterscotch, couvee yang java sm everyday latte, cosan yng himalaya, tuku kopi tetangga, yang penting latte & creamy is + point;2024-09-25T13:09:25.000Z;https://x.com/duniakamuu/status/1838928796290076854;[];@FOODFESS2;@duniakamuu;[]
@naiethereal;tuku: kopi susu tetangga fore: pandan latte, salted caramel mocha, berry manuka americano kopi kenangan: kenangan mantan, mocha family mart: kopi susu keluarga;2024-09-25T04:17:24.000Z;https://x.com/naiethereal/status/1838794908968325179;[];@FOODFESS2;@naiethereal;[]
@hazelnaaaaa;Kopi kenangan mantan;2024-09-25T04:06:22.000Z;https://x.com/hazelnaaaaa/status/1838792134620557353;[];@FOODFESS2;@hazelnaaaaa;[]
@lintangbanyu_;-5 sendok (aku pake sendok sambel kecil) kapal api classic -200 ml ultramilk karamel Ultramilknya dipanasin sampe mendidih trs tuang ke kopi. Klo yg suka manis boleh pake yg ultramilk mocca, tp aku ga suka manis jd pake karamel udh pas kek beli coffe latte di kopi kenangan/fore;2024-08-18T03:33:25.000Z;https://x.com/lintangbanyu_/status/1825013101240185282;['https://pbs.twimg.com/media/GVO_vOybAAAhwEi?format=jpg&name=large'];@FOODFESS2;@lintangbanyu_;[]
@panggilajaivon;Esbatu, kopi kenangan yg botol original black coffe ditambah oatside milk yg barista blend trs pakein gula cair secukupnya, MANTUL;2024-08-17T17:50:03.000Z;https://x.com/panggilajaivon/status/1824866292001804572;[];@FOODFESS2;@panggilajaivon;[]
@ihkanhaus;aku pas awal minumnya kopi kenangan mantan less sugar. yang creamy aren latte juga nyaman. atau kopi susu keluarga family mart, itu oke nder ga bikin mual.;2024-07-31T07:14:14.000Z;https://x.com/ihkanhaus/status/1818545691750269437;[];@FOODFESS2;@ihkanhaus;[]
@afiiitz10;Point lah. Kopi kenangan terlalu manis;2024-07-18T00:56:02.000Z;https://x.com/afiiitz10/status/1813739470203810089;[];@FOODFESS2;@afiiitz10;[]
@agehmraa;Kopi kenangan, Matcha Espresso;2024-07-17T13:04:24.000Z;https://x.com/agehmraa/status/1813560383548104778;[];@FOODFESS2;@agehmraa;[]
@nunuikl;kopi kenangan yang signature lebih enak dari pada yang biasa wkwk;2024-07-17T09:00:58.000Z;https://x.com/nunuikl/status/1813499122680500674;[];@FOODFESS2;@nunuikl;[]
@stickyyypurple;Kopi kenangan >>>>>>;2024-07-16T16:56:08.000Z;https://x.com/stickyyypurple/status/1813256313100726446;[];@FOODFESS2;@stickyyypurple;[]
@fiksianina;"Dua²nya enak tapi masih enakan kopi kenangan kayanya sih.. lebih ""matcha"" aja rasanya";2024-07-16T16:00:40.000Z;https://x.com/fiksianina/status/1813242353647513926;[];@FOODFESS2;@fiksianina;[]
@sollaespring;Point coffee, kopi kenangan;2024-07-16T08:20:38.000Z;https://x.com/sollaespring/status/1813126585459040432;[];@FOODFESS2;@sollaespring;[]
@masd4pid;1. Dumdum 2. Kopi kenangan 3. TLJ Pengen nyoba thai teanya gacoan dah sebagai pecinta minuman pahit;2024-07-03T03:43:12.000Z;https://x.com/masd4pid/status/1808345723039277350;[];@FOODFESS2;@masd4pid;[]
