User;Text;Date;Tweet Link;Media Links;Reply To;Target;Mentions
@eibicilalala;ke kopken ada syaratnya ga?;2024-07-10T15:06:17.000Z;https://x.com/eibicilalala/status/1811054343577293183;[];@whenuseemeagain;@eibicilalala;[]
@crims0n_eyes;thai tea kopken masih gacor;2024-07-10T03:35:34.000Z;https://x.com/crims0n_eyes/status/1810880515660206487;[];@FOODFESS2;@crims0n_eyes;[]
@cindoey;YASSS! Kalo mau agak murahnya, bisa beli Thai Tea di kopken karena menurutku rasanya mirip, atau yg lebih mahalan dikit lagi ada TLJ dan Jco;2024-07-09T18:02:37.000Z;https://x.com/cindoey/status/1810736330835644687;[];@FOODFESS2;@cindoey;[]
@sugarincrus;dumdum, tlj, jco, kopken. Top 4 terenak menurut akuuu;2024-07-09T15:54:19.000Z;https://x.com/sugarincrus/status/1810704043305754980;[];@FOODFESS2;@sugarincrus;[]
@Lemoniedinn;Eh kopken juga ada yaa?;2024-07-04T01:06:15.000Z;https://x.com/Lemoniedinn/status/1808668613580370350;[];@Lemoniedinn;@Lemoniedinn;[]
@tttiiiccceee;Plissss, kasih tau gw yg paling de bessssttt dr yg mana. Gw thai tea bangeeett. Tp yg gw beli cuman dr kopken doang nih..huhuhu;2024-07-03T21:16:57.000Z;https://x.com/tttiiiccceee/status/1808610907809067125;[];@FOODFESS2;@tttiiiccceee;[]
@nduteaaa;Surga duniaku iniii, aku belum pernah coba di kopi soe sama kopken, aaaa noted deh, pan kapan aku coba, thanksssssssss;2024-07-03T17:44:41.000Z;https://x.com/nduteaaa/status/1808557488092164589;[];@FOODFESS2;@nduteaaa;[]
@ciproheptadine;Tapi emang kopken lebih enak varian thai tea nya daripada kopinya;2024-07-03T17:07:32.000Z;https://x.com/ciproheptadine/status/1808548140095844516;[];@FOODFESS2;@ciproheptadine;[]
@Aulkhairani;thai tea dumdum masi yg terdabest. tapi kopken jg enak, cm ttp gbs ngalahin dumdum;2024-07-03T15:53:50.000Z;https://x.com/Aulkhairani/status/1808529593009336713;[];@FOODFESS2;@Aulkhairani;[]
@jepideksho;1. Dum dum 2. Jco 3. Kopken 4. Raa cha jg enak deh seingatku;2024-07-03T15:19:05.000Z;https://x.com/jepideksho/status/1808520849957478662;[];@FOODFESS2;@jepideksho;[]
@pangwave25thour;thai tea kopken gula doang ajggg;2024-07-03T12:58:25.000Z;https://x.com/pangwave25thour/status/1808485448664416638;[];@FOODFESS2;@pangwave25thour;[]
@seadanyaaAku;kopken perasaan b aja dee bahkan thai teanya kurang berasa, yg ada malah milk banget rasanya;2024-07-03T12:35:01.000Z;https://x.com/seadanyaaAku/status/1808479558716530920;[];@FOODFESS2;@seadanyaaAku;[]
@stevenignasius;Dumdum paling best tp outletnya makin punah ke 2 kopken;2024-07-03T09:56:41.000Z;https://x.com/stevenignasius/status/1808439713206050889;[];@FOODFESS2;@stevenignasius;[]
