User;Text;Date;Tweet Link;Media Links;Reply To;Target;Mentions
@sunflowlilie;kopken minta less sugar. kl point coffee masih kerasa manis.;2024-05-31T08:02:46.000Z;https://x.com/sunflowlilie/status/1796452246500307052;[];@FOODFESS2;@sunflowlilie;[]
@catsudum;kalo suka yg strong, point coffee;2024-05-31T01:54:07.000Z;https://x.com/catsudum/status/1796359470039347667;[];@FOODFESS2;@catsudum;[]
@yoruville;Point coffee mahal gk sih? Pengen cobain tp tkut ngerasa kemahalan;2024-05-28T01:44:43.000Z;https://x.com/yoruville/status/1795269943652737124;[];@FOODFESS2;@yoruville;[]
@beeprachaya;Matcha please, matcha point coffee ga ada obatnya;2024-05-27T10:35:00.000Z;https://x.com/beeprachaya/status/1795041006477267335;[];@FOODFESS2;@beeprachaya;[]
@qfterdive;cookies n cream si kalo point coffee, matcha dia ga cocok di aku soalnya. padahal dimana mana pasti aku nyari matcha;2024-05-27T07:00:27.000Z;https://x.com/qfterdive/status/1794987010525995454;[];@FOODFESS2;@qfterdive;[]
@crunchyflames;Aku kok ga pernah kebagian Monday mistery point coffee ya:') pasti abis pdhl masi jam 11 siang gt;2024-05-27T04:04:09.000Z;https://x.com/crunchyflames/status/1794942646022185133;[];@FOODFESS2;@crunchyflames;[]
@anbelorange;Nggak ada yg bilang point coffee?! Point coffee minta less sugar enak bangeett;2024-05-21T04:53:58.000Z;https://x.com/anbelorange/status/1792780852684038649;[];@FOODFESS2;@anbelorange;[]
@giitgood;Semalem. Ditambah point coffee;2024-05-20T14:48:02.000Z;https://x.com/giitgood/status/1792567966476927456;['https://pbs.twimg.com/media/GOB69h4a4AAbgKm?format=jpg&name=medium'];@FOODFESS2;@giitgood;[]
@IAmSleepyReader;Kopi baper-nya Point Coffee yang hazelnut;2024-05-20T09:36:55.000Z;https://x.com/IAmSleepyReader/status/1792489671903375551;[];@FOODFESS2;@IAmSleepyReader;[]
@ayamssi;ada tutorial jajan point coffee ngga sih, aku pengen nyoba tapi takut;2024-05-17T11:56:55.000Z;https://x.com/ayamssi/status/1791437742053949651;[];@FOODFESS2;@ayamssi;[]
@IAmSleepyReader;Kopi Susu Awan (?) - Kopi Toko Djawa Kopi Susu Tetangga - Tuku Aku lupa apa namanya tapi Calf punya kopi yang light (smooth latte?) itu enak dan ga bikin dagdigdug Caramel Macchiato - Point Coffee (ini aku kaget loh ga ngasih efek aneh-aneh??);2024-05-17T08:01:36.000Z;https://x.com/IAmSleepyReader/status/1791378520280842294;[];@FOODFESS2;@IAmSleepyReader;[]
@yodahlayaaa;Karena ngga terlalu suka coffee klo ke point pasti beli chocolate signaturenyaa enaak ga terlalu manis juga walopun ngga less sugar.;2024-05-17T04:51:41.000Z;https://x.com/yodahlayaaa/status/1791330729600950499;[];@FOODFESS2;@yodahlayaaa;[]
@asepdayat29;Endesnya sesuai urutan (versiku) : 1. Tuku 2. Stuja 3. Fore 4. Tomoro 5. Point coffee Itu semua request less sugar 50%;2024-05-17T01:05:50.000Z;https://x.com/asepdayat29/status/1791273889148043619;[];@FOODFESS2;@asepdayat29;[]
@rafindahs;Nyobain avocado lime pertama x nya di point coffee, rasanya aneh banget;2024-05-16T14:12:27.000Z;https://x.com/rafindahs/status/1791109460183982093;[];@FOODFESS2;@rafindahs;[]
@oreocheezii;aku dulu jg gini pls wkwk, tp skrg di domku udah ga ada jadi minum point coffee nya pas ke luar kota doang;2024-05-16T06:16:45.000Z;https://x.com/oreocheezii/status/1790989749446201375;[];@zril_not_zriel;@oreocheezii;[]
@trellaoribel;Kopi saku wajiib, tapi somehow jarang restock ya. Kalau ga kopi baper + point coffee caramel macchiato sih yang pasti;2024-05-15T22:49:58.000Z;https://x.com/trellaoribel/status/1790877312109736020;[];@FOODFESS2;@trellaoribel;[]
@ulfianadk;Bukan coffee nya tapi kiwi pandan nya point coffee tuh enak bgt segerrrrr;2024-05-15T22:14:58.000Z;https://x.com/ulfianadk/status/1790868504440394102;[];@FOODFESS2;@ulfianadk;[]
@zril_not_zriel;tim yang minum point coffee sesuai promo senin;2024-05-15T14:31:11.000Z;https://x.com/zril_not_zriel/status/1790751786716078503;[];@FOODFESS2;@zril_not_zriel;[]
@ayangjaehyun_;pliss gais saranin menu coffee/non coffee di point yang gak terlalu manis bgt apa ya?? aku beli selalu minta less sugar tapi menurutku masih kemanisan bgt;2024-05-15T14:07:25.000Z;https://x.com/ayangjaehyun_/status/1790745805407818157;[];@FOODFESS2;@ayangjaehyun_;[]
@jongjayya;haha bener banget, padahal point coffee termasuk yang mayan ramah di kantong;2024-05-13T15:38:22.000Z;https://x.com/jongjayya/status/1790043917993365798;[];@FOODFESS2;@jongjayya;[]
@Vousmevouyess;Point coffee msh itungan standar si harganya, apalagi kalo pake frappe2 gitu ditempat lain rata2 bisa 40k keatas. Kalo mau murahnya, kopi saku atau bapernya juga enak;2024-05-13T13:17:04.000Z;https://x.com/Vousmevouyess/status/1790008359195750684;[];@FOODFESS2;@Vousmevouyess;[]
@dalsegnov;Mjb yaaa, ituu enakkk karena kemaren pun aku baru bgt beli Caramel Macchiato Point Coffee, menurutku rasanya balance bgt. Kalau mau lbh strong, ya paling harus extra shot sih;2024-05-13T13:07:04.000Z;https://x.com/dalsegnov/status/1790005843192103352;[];@cumalevvat;@dalsegnov;[]
@ninasachary_;MAHAL JUGA KALO POINT COFFEE AKU BELIIIII... LOVE SEKEBOOONN;2024-05-13T13:04:09.000Z;https://x.com/ninasachary_/status/1790005109960654984;[];@FOODFESS2;@ninasachary_;[]
@clxrn;Point coffee mau naik atau turun, selama kualitas terjaga sih aman2 aja. Bakal kebeli juga klo preferensiku. Kadang orang2 ni mau murah tp kualitas sama. Pdhl harga bahan baku dan jasa bisa berubah2. HERAN. LAMBENE JOGOEN REK;2024-05-13T12:47:35.000Z;https://x.com/clxrn/status/1790000942194041266;[];@FOODFESS2;@clxrn;[]
@jinzblu;pdhl point coffee tuh standar kok dan enak, worth the price di harga range 20-30k an. aku pernah ke kafe di dom aku sm bunda + tante aku, kopi harganya 42k gabeda jauh sm sbcks, tp rasanya kayak kopi gud dey kebanyakan aer skrg udh ga ada tu cafe uda gulung tikar;2024-05-13T12:44:22.000Z;https://x.com/jinzblu/status/1790000131380494818;[];@FOODFESS2;@jinzblu;[]
@shinrhoa;Tuku, fore, point coffee;2024-05-12T14:57:33.000Z;https://x.com/shinrhoa/status/1789671259120562652;[];@FOODFESS2;@shinrhoa;[]
@sentiafebryanti;Saran menu point coffee yg enak apa ya?;2024-05-12T10:00:15.000Z;https://x.com/sentiafebryanti/status/1789596441570431357;[];@FOODFESS2;@sentiafebryanti;[]
@gekaz_;Kalo sama point coffee malah jauh bgt rasanya, ini kaya kopinya aneh dan too sweet wlwpun less sugar;2024-05-12T03:24:45.000Z;https://x.com/gekaz_/status/1789496909134213222;[];@FOODFESS2;@gekaz_;[]
@livelwy;point coffee nder. aku sekarang ini kalau ga tuku - point - family mart;2024-05-09T22:56:02.000Z;https://x.com/livelwy/status/1788704508664500254;[];@FOODFESS2;@livelwy;[]
@Atina_E;Point coffee I cinta machanya.. Tp Emg kyna tiap tempat jual minuman Itu item macha/green teanya enak2. Kopken, janjiw, point, bahkan gacoan pun greentea/machanya enak;2024-05-09T12:08:39.000Z;https://x.com/Atina_E/status/1788541592657375654;[];@FOODFESS2;@Atina_E;[]
@moonrifter21;Aku beli di point coffee menu nasi daun ayam geprek;2024-05-09T07:33:10.000Z;https://x.com/moonrifter21/status/1788472263387525125;[];@FOODFESS2;@moonrifter21;[]
@oktarinamunaf;Yh sebagai anak cupu ngopi Urutan dari yg masih cukup bisa di toleransi sampe engga bisa : *artinya dari yg mild ke strong 1. Cold brew tanamera 2. Fore 3. Tomoro 4. Kopken jawara beans (lainnya gk dulu) 5. Point coffee;2024-05-08T09:08:12.000Z;https://x.com/oktarinamunaf/status/1788133793112768677;[];@FOODFESS2;@oktarinamunaf;[]
@sharkyocto;lagi kecintaan banget sama kopi saku & kopi bapernya point coffee! enak & ramah dikantong;2024-05-07T09:19:33.000Z;https://x.com/sharkyocto/status/1787774258174951564;[];@FOODFESS2;@sharkyocto;[]
@aariinii_;"kok ak gak merasa ini endul sprti kata orang"" ya. masi enakan kopken, point coffee";2024-05-07T08:49:09.000Z;https://x.com/aariinii_/status/1787766610385932695;[];@FOODFESS2;@aariinii_;[]
@rosesinmyroom;Point coffee aku blm pernah nyoba tuku sih;2024-05-07T08:16:12.000Z;https://x.com/rosesinmyroom/status/1787758315604496550;[];@FOODFESS2;@rosesinmyroom;[]
@conservathick;Point coffee indomaret karena dia yg selalu ada alias deket rumah;2024-05-07T07:54:05.000Z;https://x.com/conservathick/status/1787752752724205768;[];@FOODFESS2;@conservathick;[]
