User;Text;Date;Tweet Link;Media Links;Reply To;Target;Mentions
@23loeyslove;kalau aku sih yang manis2 nder, biasanya es krim atau frappe nya point coffee;2024-12-20T09:46:17.000Z;https://x.com/23loeyslove/status/1870043033879920730;[];@FOODFESS2;@23loeyslove;[]
@starbaack;point coffee sama fore FAV BGTT;2024-12-17T15:16:18.000Z;https://x.com/starbaack/status/1869038919695921499;[];@FOODFESS2;@starbaack;[]
@lavachocoo;Aku ga tau point coffee ada ngga yg 1 L, tp kopi mereka juga enak;2024-12-16T17:05:59.000Z;https://x.com/lavachocoo/status/1868704133869715687;[];@FOODFESS2;@lavachocoo;[]
@gopril_;KSK Famima, KST Tuku, Fore, Point Coffee, Stuja, Uncle Jo, goodday freeze, ABC Susu;2024-12-15T14:16:53.000Z;https://x.com/gopril_/status/1868299193296785851;[];@FOODFESS2;@gopril_;[]
@uwiyari;Kopken order less ice dapetnya normal ice trus point coffee order normal ice dapetnya less ice. Dah lah ga ngerti sayaa;2024-12-07T12:59:27.000Z;https://x.com/uwiyari/status/1865380604860346566;[];@FOODFESS2;@uwiyari;[]
@penguinmecil;aku pun, beli point coffee minta normal sugar tapi dibikinin no sugar kayanya soalnya jadi pait banget ga ada manis-manisnya. yaudah pasrah aja wkwk;2024-12-07T11:35:29.000Z;https://x.com/penguinmecil/status/1865359470353948952;[];@FOODFESS2;@penguinmecil;[]
@selenezip;terus kalo beli yg cup gitu, aku biasanya di point coffee tp less sugar;2024-11-20T04:37:59.000Z;https://x.com/selenezip/status/1859093811055784022;[];@selenezip;@selenezip;[]
@adelinfd;Paling best Allure sih tapi udah ga ada kenapa ya :( abis tu kopken tapi yg hot + half sugar karna kalo cold ga creamy, fore jg enak less sugar pake toping seasalt mantap, terus point coffee tp less sugar;2024-11-19T13:29:26.000Z;https://x.com/adelinfd/status/1858865167368679887;[];@FOODFESS2;@adelinfd;[]
@mhduhita;Pernah nyoba matcha sbux, point coffee sm fore, tp menurutku yg matcha puol (ada pahitnya gitu) punya sbux. Klo yg fore kaya matcha sasetan dikasih susu sm kremer. Klo point caffe kemanisan di aku. Jd ky minum susu matcha biasa. Tapi balik lagi ke selera masing-masing sih;2024-11-19T13:11:13.000Z;https://x.com/mhduhita/status/1858860582914716106;[];@FOODFESS2;@mhduhita;[]
@diadiahhh;di point coffee enak bgt;2024-11-19T12:06:16.000Z;https://x.com/diadiahhh/status/1858844238856794249;[];@FOODFESS2;@diadiahhh;[]
@urfavlullaby_;kalo di coffeeshop, fore, point coffee, lawson. kalo buat sendiri yg matchamu sihhh;2024-11-19T12:03:49.000Z;https://x.com/urfavlullaby_/status/1858843620058796488;[];@FOODFESS2;@urfavlullaby_;[]
@lixbbys;nder, matchanya point coffee enak bgt harus cobain sih;2024-11-19T11:49:07.000Z;https://x.com/lixbbys/status/1858839923052204141;[];@FOODFESS2;@lixbbys;[]
@needachillll;yg terenak yg pernah ku coba kopken, point coffee, sama feel matcha, rill enak bgt cuyyy feel matcha . klo bikin sendiri aku pake mixtura yg kaya gini. Ini enak bgt pake skm + susu evaporasi merek f&n + susu full cream.;2024-11-19T11:08:05.000Z;https://x.com/needachillll/status/1858829593274446186;['https://pbs.twimg.com/media/GcvjqhYbcAMOjVw?format=jpg&name=large'];@FOODFESS2;@needachillll;[]
@hallohappy02;Kalo dulu aku langganan matcha latte nya YUMMY COFFEE. Adanya di Indomart tapi ini beda sama POINT COFFEE yaa... yg YUMMY COFFEE;2024-11-19T10:12:36.000Z;https://x.com/hallohappy02/status/1858815634244857931;[];@FOODFESS2;@hallohappy02;[]
@Gausah_kep0o;Klo mw murah Kopi Kenangan enakkk, matcha nya strong ada pait paitnya. Point coffee matcha ice jg enaa cmn dia lebih ke rasa susu sedikitt. Sama feel matchaaa ENAK BANGETSS. Selain itu gasuka cm matcha ala ala doang;2024-11-19T03:11:21.000Z;https://x.com/Gausah_kep0o/status/1858709621143466084;[];@FOODFESS2;@Gausah_kep0o;[]
@monokyeom;HAKON Smwa warga depok wajib cobain matcha hakon, enak btull apalagi yg ceremonial no.90 Tapi bisa pilih no.65/70/90, sesuai preferensi masing2 tapi aku suka yg 90 Pilihan lain paling feel matcha/kopken/famima/point coffee;2024-11-18T13:57:43.000Z;https://x.com/monokyeom/status/1858509897530474797;['https://pbs.twimg.com/media/GcrA5EAaAAA4abQ?format=jpg&name=small', 'https://pbs.twimg.com/media/GcrA5D-asAEBseT?format=jpg&name=small', 'https://pbs.twimg.com/media/GcrA5E_awAACGG6?format=jpg&name=small', 'https://pbs.twimg.com/media/GcrA5FPb0AAjo1s?format=jpg&name=small'];@FOODFESS2;@monokyeom;[]
@mcthsyo__;tong jie, point coffee, matchamu juga oke;2024-11-18T11:38:46.000Z;https://x.com/mcthsyo__/status/1858474927801954808;[];@FOODFESS2;@mcthsyo__;[]
@journesty;matcha tomoro, kopi kenangan, point coffee. selebihnya blm prnh ngerasain menu matcha lainnya;2024-11-18T10:43:36.000Z;https://x.com/journesty/status/1858461047180657028;[];@FOODFESS2;@journesty;[]
@kriscatsu;Matchachio (kalo bisa less sugar) punya Point Coffee Indomaret. Suka banget! Creamy kayak eskrim;2024-11-18T10:10:10.000Z;https://x.com/kriscatsu/status/1858452632500887608;[];@FOODFESS2;@kriscatsu;[]
@creamilloo;Aku paling suka beli matcha point coffee, tomoro, fore, sama terakhir itu family mart;2024-11-18T09:54:25.000Z;https://x.com/creamilloo/status/1858448666627022931;[];@FOODFESS2;@creamilloo;[]
@xLfridayyyyss;Feel matcha, kopken, point coffee 70%. Kalau yg instan beli yg Matchamu, homelab;2024-11-18T09:35:34.000Z;https://x.com/xLfridayyyyss/status/1858443926329229501;[];@FOODFESS2;@xLfridayyyyss;[]
@jmindontleaveme;aku ga terlalu suka rasa matcha tp matcha point coffee enakk dan bisa aku nikmati (gulanya sih kayaknya) tp less sugar ttp enak sih itu;2024-11-18T09:30:34.000Z;https://x.com/jmindontleaveme/status/1858442664410280096;[];@FOODFESS2;@jmindontleaveme;[]
@bucinamgil;Asli enakan point coffee;2024-11-17T07:27:06.000Z;https://x.com/bucinamgil/status/1858049207359414508;[];@FOODFESS2;@bucinamgil;[]
