User;Text;Date;Tweet Link;Media Links;Reply To;Target;Mentions
@lalatifahn;"Loh nder, bbrp hari yg lalu ak dikasi tomoro sm bukle ak tp cupnya blum kyk gini. Apa tiap cabang beda"" yh";2024-04-29T17:52:59.000Z;https://x.com/lalatifahn/status/1785004366426202144;[];@FOODFESS2;@lalatifahn;[]
@midnighyy;setujuuu bgttt. kapan hari ngerasa kok ada yg aneh dari cup tomoro, lah ganti ternyata:(((;2024-04-29T11:19:30.000Z;https://x.com/midnighyy/status/1784905345061810431;[];@FOODFESS2;@midnighyy;[]
@mellymeliana20;Cup tomoro yang warnanya item bagian yang buat sedotannya gampang kebuka. Beda ama dulu yang cup reguler tutupnya kenceng;2024-04-29T11:06:17.000Z;https://x.com/mellymeliana20/status/1784902018307326447;[];@FOODFESS2;@mellymeliana20;[]
@ouijave;Loh baru tau.. belom ke tomoro lagi, tapi cup dia emang beda dari yg lain;2024-04-29T05:44:59.000Z;https://x.com/ouijave/status/1784821158854234158;[];@FOODFESS2;@ouijave;[]
@shinmenyuu;Setujuuu tomoro pls balikin cupnya;2024-04-29T05:40:52.000Z;https://x.com/shinmenyuu/status/1784820123582464121;[];@FOODFESS2;@shinmenyuu;[]
@GaemPSP;cukup si biasanya jg org ngasih snack guma jue gorengan murah kan wkwk;2024-04-29T03:24:14.000Z;https://x.com/GaemPSP/status/1784785739638849955;[];@FOODFESS2;@GaemPSP;[]
@Zzzeverywhere;lah aku belum pernah ke tomoro plss;2024-04-29T03:14:59.000Z;https://x.com/Zzzeverywhere/status/1784783410755744073;[];@FOODFESS2;@Zzzeverywhere;[]
@jiminaangels;Yaaaah padahal enaknya cup tomoro itu ada tutupnya;2024-04-29T03:11:28.000Z;https://x.com/jiminaangels/status/1784782524469891554;[];@FOODFESS2;@jiminaangels;[]
@belleourguest;Baru seminggu lalu ke Tomoro pertama kali kan, terus w bingung nusukkin sedotannya gimana. Karena cup ini gak ada lobangnya, akhirnya w bawa pulang aja, w buka cup-nya. Btw gimana sih emang nusukkin sedotan di cup jenis ini?;2024-04-29T01:37:20.000Z;https://x.com/belleourguest/status/1784758835074478530;[];@numcenum;@belleourguest;[]
@maachiyato;Yahh, apa karena pemasukan mereka kurang ya? Soalnya tomoro Deket rumah sepi bgt mana sampingan sama janjiw;2024-04-28T18:17:37.000Z;https://x.com/maachiyato/status/1784648179625214315;[];@FOODFESS2;@maachiyato;[]
@SalsabillahNA;Mungkin karna harga gelas yang sebelum nya itu mahal. Gw kerja di toko plastik, sumpah gelas yang di pake tomoro tu mahal banget, trus barang nya juga langka weh;2024-04-28T17:13:34.000Z;https://x.com/SalsabillahNA/status/1784632057639161887;[];@FOODFESS2;@SalsabillahNA;[]
@peiaesco;Iyaa huh. Tapi untung sempet nyimpen 3 cup large, 2 cup kecil. Buat anak kos membantu bgt WKWK. Ini bikin alpokat kocok sendiri trs diwadahi gelas tomoro, bisa dibawa kemana manaa;2024-04-28T17:04:09.000Z;https://x.com/peiaesco/status/1784629688327135623;['https://pbs.twimg.com/media/GMRHPg1aEAAl6Qf?format=jpg&name=900x900'];@FOODFESS2;@peiaesco;[]
