User;Text;Date;Tweet Link;Media Links;Reply To;Target;Mentions
@sipalingbiru_;di perumnas jajaran sblm tomoro kak;2024-12-30T17:27:54.000Z;https://x.com/sipalingbiru_/status/1873783082274480388;[];@rynkheisoo;@sipalingbiru_;[]
@meliukmark;Udah 3 kali well, 1 tomoro, 2 kapal api no sugar (maklum akhir bulan ini ya);2024-12-23T15:01:40.000Z;https://x.com/meliukmark/status/1871209566270337273;[];@FOODFESS2;@meliukmark;[]
@lilyylip;bukannya tomoro emang strong ya kopinya? malah lebih enak yang kerasa kopinya daripada manis doang;2024-12-23T00:46:32.000Z;https://x.com/lilyylip/status/1870994366300618991;[];@FOODFESS2;@lilyylip;[]
@buntelanboba;Spanish latte nya tomoro enak tp minta less kopi, biasanya 1 shot itu 30ml nah minta dikurangin aja jd 15ml biar ga strong bgt;2024-12-22T15:47:12.000Z;https://x.com/buntelanboba/status/1870858636786057529;[];@FOODFESS2;@buntelanboba;[]
@indrichxnce;Kopinya tomoro emg mayan strong;2024-12-21T21:07:37.000Z;https://x.com/indrichxnce/status/1870576884209344950;[];@FOODFESS2;@indrichxnce;[]
@yosiintanpp;Kenapa kalo tomoro americanonya asem yaa;2024-12-21T18:07:58.000Z;https://x.com/yosiintanpp/status/1870531675874341376;[];@FOODFESS2;@yosiintanpp;[]
@tiiyeah;kopi tomoro emg strong semua sih sejauh yg aku pesen;2024-12-21T17:41:48.000Z;https://x.com/tiiyeah/status/1870525087906189785;[];@FOODFESS2;@tiiyeah;[]
@431328_;tomoro strong semua sih, beli matcha or coklatnya aja nder kentel;2024-12-21T17:02:21.000Z;https://x.com/431328_/status/1870515162891096408;[];@FOODFESS2;@431328_;[]
@ixowhatalife;Pasti iyain aja kalo nambah shot ya? Soalnya barista tomoro suka nanya dulu;2024-12-21T16:56:26.000Z;https://x.com/ixowhatalife/status/1870513673091031107;[];@FOODFESS2;@ixowhatalife;[]
@sallyruns;Tapi menurut gue kopinya tomoro strong semua nder, krn mereka pake jenis kopi arabika. Kalo beli biasanya yang greentea atau hojicha;2024-12-21T15:48:04.000Z;https://x.com/sallyruns/status/1870496464901906576;[];@FOODFESS2;@sallyruns;[]
@buluocheng;Eemang ga enak ih tomoro mah, pait.. mending fore;2024-12-21T15:41:46.000Z;https://x.com/buluocheng/status/1870494881959002596;[];@FOODFESS2;@buluocheng;[]
@xmatchalatex;tomoro mah emang kureng gasi;2024-12-21T15:32:53.000Z;https://x.com/xmatchalatex/status/1870492646155886779;[];@FOODFESS2;@xmatchalatex;[]
@Ailu_Phile;Sebagai pecinta kopi Arabica, Tomoro ini merk paling aku suka malah :). Memang strong banget kopinya dri merk2 lain. Yg spanish latte menurutku ga gtu strong. Menu coklatnya enak juga;2024-12-21T15:23:40.000Z;https://x.com/Ailu_Phile/status/1870490325296484852;[];@FOODFESS2;@Ailu_Phile;[]
@ANRPRJ;Fore apa point coffe aja nder jangan tomoro kalau mau yang rasa kopinya tipis;2024-12-21T15:10:49.000Z;https://x.com/ANRPRJ/status/1870487091559440595;[];@FOODFESS2;@ANRPRJ;[]
@gorgeouseashore;Asli tomoro strong bgt, aku pertama kalinya mual semaleman sampe pengen muntah setelah minum kopi jd ga berani minum kopi lg abis itu :';2024-12-21T14:39:41.000Z;https://x.com/gorgeouseashore/status/1870479259002978381;[];@FOODFESS2;@gorgeouseashore;[]
@ariefhydee;"Tomoro enakan matchanya drpd kopi""nya. Mending Point drpd Tomoro kl nyari kopi";2024-12-21T14:02:14.000Z;https://x.com/ariefhydee/status/1870469832094945720;[];@FOODFESS2;@ariefhydee;[]
@allytzra;Kemaren coba tomoro langsung aslam, kayanya memang terlalu strong. Tapi enak;2024-12-21T12:57:58.000Z;https://x.com/allytzra/status/1870453660121194659;[];@FOODFESS2;@allytzra;[]
@chizuematcha;kalo gk strong menu fore nder yg signature menurtku gk strong semua, tp kalo km pilih tani series yg kopi dari tani pertama gk strong tp akhir strong sih. trs kalo di tomoro better kamu coba matcha, apalagi matcha yg megumi itu enak banget nder. kalo kopi gojo juga lumayan enakk;2024-12-21T10:09:47.000Z;https://x.com/chizuematcha/status/1870411333235335520;[];@FOODFESS2;@chizuematcha;[]
@Henyonggg;Emang strong si kopinya tomoro, rada asem juga mnurut ku mirip nescafe classic 2bungkus;2024-12-21T10:06:58.000Z;https://x.com/Henyonggg/status/1870410628093153404;[];@FOODFESS2;@Henyonggg;[]
@cacicuu___;tomoro gada yg enak;2024-12-21T09:50:43.000Z;https://x.com/cacicuu___/status/1870406537929208175;[];@FOODFESS2;@cacicuu___;[]
@5trawberrymoon;Klo tomoro kopinya emg strong;2024-12-21T07:22:49.000Z;https://x.com/5trawberrymoon/status/1870369317839315245;[];@FOODFESS2;@5trawberrymoon;[]
@gagajalapenomie;Strong semua tomoro. Mending ke kopken;2024-12-21T06:51:17.000Z;https://x.com/gagajalapenomie/status/1870361379934437510;[];@FOODFESS2;@gagajalapenomie;[]
@aeshin_go;@aloogesiniakuu BA tomoro dipersilakan;2024-12-21T05:22:25.000Z;https://x.com/aeshin_go/status/1870339018640265479;[];@FOODFESS2;@aeshin_go;['aloogesiniakuu']
@fukkasaku;Kopinya Tomoro strong semua nder;2024-12-21T05:17:02.000Z;https://x.com/fukkasaku/status/1870337661841596512;[];@FOODFESS2;@fukkasaku;[]
@fallenectar;First time kmrn ke tomoro bau kopi di toko nya jg udh kenceng bgt kepala ku smpe pening emg dasaran ga suka kopi tp beli krna event jjk aja itu jg yg gojo rasa nya aneh pdhl pgn yg yuji tp lg kosong;2024-12-21T05:09:39.000Z;https://x.com/fallenectar/status/1870335802330472582;[];@FOODFESS2;@fallenectar;[]
@SERBUKU;mochanyaaa tp agak pait si krn gpake gula, jd coklat n kopi aj mnurut ingfo baristanya. TAPI NDER tomoro rata2 kopi nya emggg enak n paiitttt jd kyknya lbh ke request less coffee aja;2024-12-21T05:08:02.000Z;https://x.com/SERBUKU/status/1870335399123722435;[];@FOODFESS2;@SERBUKU;[]
@tentangbiroe;Nder, tomoro tuh ga ada yg strong, kecuali tambah one shot espresso;2024-12-21T05:06:33.000Z;https://x.com/tentangbiroe/status/1870335023938969978;[];@FOODFESS2;@tentangbiroe;[]
