Text,Brand,Date
sumpah iya fore beli kopi toast kerja pulang tidur,fore,01/2024
fore dark chocom,fore,01/2024
tim matcha green tea classic milo beli fore sebenernya caramel macchiato enak sih opsi pengen,fore,01/2024
fore bisaa turun harga promo goceng dehh,fore,01/2024
fore enaaaa dikantor deket mall hampir beli fore wkwk,fore,01/2024
iya allah kangen tomoro disini gak hiks minum bogor suka coconut lattenya sih fiks,tomoro,01/2024
b1g1 nyobain point coffee pas 2023,point coffee,01/2024
beli tomoro oat latte enakkk,tomoro,01/2024
g suka matcha nyobain matchanya tomoro mlh suka matchanya wkwk,tomoro,01/2024
mauu beli tomoro download aplikasi nya deh diskon 9k ngomong-ngomong gula aren enak,tomoro,01/2024
terlambat sehari fotonya memang last 2023 tomoro sahabat baikku,tomoro,01/2024
minuman coklatcoklat fore enak yaa,fore,01/2024
oiya kopi kenangan terima kasih maaf iya gapteks taunya point coffee doank hehehe,kopi kenangan,01/2024
oiya kopi kenangan terima kasih maaf iya gapteks taunya point coffee doank hehehe,point coffee,01/2024
jatuh cinta croissantnnya tomoro,tomoro,01/2024
mencoba tomoro beli matcha oat latte enaak,tomoro,01/2024
bagiku enak tuku fore pandan latte,fore,01/2024
matcha oat latte serius deh matchanya enak banget pecinta matcha matchanya tomoro secinta,tomoro,01/2024
pesen tomoro oat latte,tomoro,01/2024
tomoro yuuk wkwkwk sumpah effort banget cari unname twitter,tomoro,01/2024
tomoro coffe enak,tomoro,01/2024
cup taruk etalase tiktok indomaret yummy choice kayaknya banyakk beli es batu point coffee nya,point coffee,01/2024
lupa namanya pokoknya menu chocolatenya tomoro enak,tomoro,01/2024
wuiihh pengen jdinya ngomong-ngomong informasi tomoro coffe 9k all menu ges caranya yaaa,tomoro,01/2024
bbq smoke beeff zama jelata cheesee ngomong-ngomong informasi promo 9k all menu tomoro coffe pakai kode reff guyss,tomoro,01/2024
jatuh cinta tomoro,tomoro,01/2024
jatuh cinta kemenangan point coffee si,point coffee,01/2024
aaahhh sebelah selatannya iya bbrp kesana pas beloknya fore fore,fore,01/2024
ih kayak enak ah males tomoro ambil promo 9k,tomoro,01/2024
kayaknya kopi kayak earphone keyboard mechanical enak enak memang sih franchise suka beda suka kopi kental suka kopi encer tomoro masuk lidah encer,tomoro,01/2024
nope mendingan pny ny point coffee,point coffee,01/2024
fore aplikasi,fore,01/2024
fore kak,fore,01/2024
promoan iya fore,fore,01/2024
coba menu barunya fore,fore,01/2024
loh admine ta cocok caramel praline frappe fore wkwkwk,fore,01/2024
fore pakai voc promonya doang mencoba buttercream tiramissunya wallahi kesana muluuu enak ituu,fore,01/2024
cokelat fore tuh seenak ituuuu sksksk cokelat fore gula tuh beuh terbaik,fore,01/2024
adh kangen fore,fore,01/2024
varian fore enakenak,fore,01/2024
mjb tiramisu seasalt chocmint enak deskripsiin bedanya he fore,fore,01/2024
dicoba cocomint fore,fore,01/2024
fore tu seenak,fore,01/2024
fore enak hampir menunya enak,fore,01/2024
choco mint coba besok fore,fore,01/2024
fore gada disinii,fore,01/2024
duhhh bm fore kesampean pdahal deket kantor,fore,01/2024
bangsat fore enak sih sore minum butterscotch tidur jam 5 pagi gabisa minum sore2 susah tidur minum pagi2 tempatnya enak kopi ges,fore,01/2024
berani mencoba variant fore buttercreamnya coffee dijaga gerd soon cobain choco mintnya,fore,01/2024
kopinya gak menu non kopi enaaak fore sih recommend guysss,fore,01/2024
cobain sushi tei free sushi bday fore minuman gratis,fore,01/2024
mjb point coffee gmn caranya kak,point coffee,01/2024
suka matcha nya chocolatos iya trauma huhu untung pas teman kerja belikan matchanya point coffee tetep minum menghargai untungnya enak banget,point coffee,01/2024
ihh wkwk gara matchnya point coffee agak berkurang traumanya,point coffee,01/2024
iya kaan enak bgttt jagoanku beli point coffee iya rekomendasiin wkwkwk,point coffee,01/2024
pure match matchamu homelab mamacia matcha latte matchamu tsujiri agak mihil aftertastenya pahit dikiiiiit enak pas mirip matcha milk point coffee gula recommended suka manis tematik chocolatos aftertastenya batuk,point coffee,01/2024
minum fore aman lambungkucmn gatau fore apalg,fore,01/2024
point coffee request menu sih sebenernya bantu jawab,point coffee,01/2024
tetep cinta kopi pandan nya point coffee sih,point coffee,01/2024
bikin kesel point coffee hot and iced harganya beda ditempat,point coffee,01/2024
point coffee decaf pengen beneran konsumi kafein,point coffee,01/2024
