Date,Text,Text Normalization,Label_Bert
01/2024,"Sumpah iya aku cuma ke fore beli kopi sama toast trus kerja, pulang ,tidur",sumpah iya fore beli kopi toast kerja pulang tidur,negative
01/2024,Fore ada dark choco?m,fore dark chocom,neutral
01/2024,Tim matcha green tea sm classic milo setiap beli di fore . Sebenernya yg rasa caramel macchiato enak sih tp buat opsi terakhir kalau lg ke pengen aja.,tim matcha green tea classic milo beli fore sebenernya caramel macchiato enak sih opsi pengen,positive
01/2024,fore bisaa turun harga ngga klo ngga itu promo goceng dehh,fore bisaa turun harga promo goceng dehh,neutral
01/2024,"fore enaaaa.. Dulu waktu dikantor lama, kebetulan deket mall, hampir tiap hari beli fore wkwk",fore enak dikantor deket mall hampir beli fore wkwk,positive
01/2024,"Nder, mo nanya dong kalo minuman yang coklat-coklat gitu di fore yang enak apa aja yaa?",minuman coklatcoklat fore enak yaa,negative
01/2024,"Bagiku enak tuku, fore (pandan latte)",bagiku enak tuku fore pandan latte,positive
01/2024,Aaahhh yg di sebelah selatannya ya? Bbrp kali mau kesana tp pas sampai sana beloknya ke fore lagi fore lagi,aaahhh sebelah selatannya iya bbrp kesana pas beloknya fore fore,negative
01/2024,Fore aplikasi,fore aplikasi,positive
01/2024,Ini fore atau apa kak?,fore kak,negative
01/2024,lagi ada promoan ga ya fore,promoan iya fore,negative
01/2024,hari ini lagi coba menu baru(?)nya fore.,coba menu barunya fore,positive
01/2024,LOH INI ADMINE TA tp aku cocok di caramel praline sm frappe aja kalo fore wkwkwk,loh admine ta cocok caramel praline frappe fore wkwkwk,positive
01/2024,"baru sekali ke fore krn mau pake voc promonya doang, nyoba buttercream tiramissunya wallahi jd kepengen kesana muluuu karena se enak ituu",fore pakai voc promonya doang nyoba buttercream tiramissunya wallahi kesana muluuu enak ituu,positive
01/2024,tapi cokelat fore tuh emang seenak ituuuu sksksk. cokelat fore + less sugar tuh beuh..... terbaik,cokelat fore tuh seenak ituuuu sksksk cokelat fore gula tuh beuh terbaik,positive
01/2024,adh kangen fore,adh kangen fore,positive
01/2024,Varian fore emang enak-enak,varian fore enakenak,positive
01/2024,"Mjb antara tiramisu, seasalt sama chocmint paling enak yg mana? Atau ada deskripsiin bedanya ga? Hehe blm pernah fore",mjb tiramisu seasalt chocmint enak deskripsiin bedanya he fore,negative
01/2024,@AfifahMala perlu dicoba cocomint fore,dicoba cocomint fore,neutral
01/2024,Fore tu seenak itu,fore tu seenak,positive
01/2024,fore emang enak hampir semua menunya enak,fore enak hampir menunya enak,positive
01/2024,baru tau ada choco mint bakal cb bsk kl ke fore lagi,choco mint coba besok fore,positive
01/2024,kenapa fore gada disinii,fore gada disinii,negative
01/2024,Duhhh bm fore blm jga kesampean pdahal deket kantor,duhhh bm fore kesampean pdahal deket kantor,positive
01/2024,"Bangsat emang fore, enak sih, tapi gw kemarin sore minum butterscotch, ga tidur sampe jam 5 pagi gimana dong, gabisa minum sore2 lagi, kalo ga ntar gw susah tidur... Masa minum pagi2, mana jauh tempatnya apa lagi yg enak tanpa kopi ges",bangsat fore enak sih sore minum butterscotch tidur jam 5 pagi gabisa minum sore2 susah tidur minum pagi2 tempatnya enak kopi ges,negative
01/2024,"Aku belum berani nyoba variant baru fore yg buttercreamnya karna coffee, dan ada yg harus dijaga yaitu gerd, soon mau cobain choco mintnya.",berani nyoba variant fore buttercreamnya coffee dijaga gerd soon cobain choco mintnya,positive
01/2024,ini ada rasa kopinya gak? menu non kopi yg enaaak di fore apa sih? recommend dong guysss,kopinya gak menu non kopi enaaak fore sih recommend guysss,positive
01/2024,"aku pernah cobain sushi tei free sushi bday, fore dpt minuman gratis",cobain sushi tei free sushi bday fore minuman gratis,positive
01/2024,aku minum fore sejauh ini aman untuk lambungku..cmn gatau selain fore apalg,minum fore aman lambungkucmn gatau fore apalg,positive
01/2024,Aaa jadi pengen fore lagi,aaa pengen fore,positive
01/2024,sampe kebawa mimpii grgr penasaran pgn nyobain tp di kota ku gaada fore:((,kebawa mimpii grgr penasaran nyobain kota ku uang fore,negative
01/2024,GAAAAKKKKK BGT. 2kali beli di bandara. Gk ada wangi2nya. Mana harganya 30an lagi. Mending fore sekalian.,gaaaakkkkk banget 2kali beli bandara gk wangi2nya harganya 30an fore,positive
01/2024,"Aku sering beli fore, kadang ada barista yang udah tau tanpa nyebut nama dulu tapi yg paling apal aku malah bapak parkirnya fore",beli fore kadang barista nyebut nama apal parkirnya fore,negative
01/2024,Fore udah ada sertif halal nya gak si min??,fore sertif halal nya gak si min,negative
01/2024,Belum nemu itu.. kk mau cobain punya Fore.,nemu kakak cobain fore,negative
01/2024,Seliweran trs fore.. Jd mau nyoba,seliweran fore nyoba,negative
01/2024,Alias gatau bingung ujung ujungnya fore lagi fore lagi,alias gatau bingung ujung ujungnya fore fore,negative
01/2024,"Sebenernya terakhir coffee butterscoth punya fore, tapi ga difoto",sebenernya coffee butterscoth fore difoto,neutral
01/2024,Fore nder atau ga indo point,fore indo point coffee,neutral
01/2024,sejauh ini enak matcha fore sama point coffee sih nderr,enak matcha fore point coffee coffee sih nderr,positive
01/2024,seperti biasa pengabdi fore,pengabdi fore,neutral
01/2024,"enakan fore/kopken, yg janjiw tuh lebih kerasa susunya drpd matchanya",enakan forekopken janjiw tuh kerasa susunya matchanya,positive
01/2024,Urutan versi aku sih Lawson > Kopken > Point > Fore > janji jiwa,urutan versi sih lawson kopi kenangan point coffee fore janji jiwa,negative
01/2024,Sama fore enak mana?,fore enak,negative
01/2024,"jujur msh enak kopken, fore tu kurang rasa matchanya",jujur enak kopi kenangan fore tu matchanya,positive
01/2024,"Matcha ya enakan arah coffee. Urutanku arah coffee > fore > kopken > point > janjiw. Banyak yang bilang point coffee enak, tapi ga seenak itu juga. Untuk ukuran matcha kurengggg. Kurang strong lah dibanding yang urutanku itu. Udah beli no sugar tapi dominan susunya",matcha iya enakan arah coffee urutanku arah coffee fore kopi kenangan point coffee janjiw bilang point coffee coffee enak seenak ukuran matcha kurengggg strong dibanding urutanku beli gula dominan susunya,negative
01/2024,"Aku nyobain poin ga enak manis banget pdhl udh minta less sugar matchanya g berasa samsek, cobain fore atau kopken kak itu enak matchanya berasa bgt",nyobain poin enak manis banget pdhl udah gula matchanya berasa cobain fore kopi kenangan kak enak matchanya berasa banget,positive
01/2024,Lebih enak kopken sama fore,enak kopi kenangan fore,positive
01/2024,Kamu harus coba buttercream choco mint nya fore!! Terbaiik ituuu! Kalo mau minuman yg nyegerin cobain hibiscus lychee peach yakult nyaa,coba buttercream choco mint nya fore terbaiik ituuu minuman nyegerin cobain hibiscus lychee peach yakult nyaa,positive
01/2024,Kalo aku as matcha lovers sih g suka walau diganti oatmilk tetep kurang bagi lidah ku. Lebih enakan fore/kopken/point/lawson.,as matcha lovers sih suka diganti oatmilk tetep lidah ku enakan forekopkenpointlawson,positive
01/2024,"dark chocolate fore enak nder, minta less sugar&less ice. agak pait2 dikit menurutkuu, mantepp",dark chocolate fore enak sugarless ice agak pait2 dikit menurutkuu mantepp,positive
01/2024,"dlu suka beli nescafe, tp stlh boycott dan lebih sering beli kopken/Fore no sugar gua jd ngerasa kopi ginian manis bgt sampe bikin eneg",suka beli nescafe boycott beli kopkenfore gula ngerasa kopi ginian manis banget bikin eneg,positive
01/2024,"fore, point pernah coba kuat sih.. vanilla latte point strong sih",fore point coffee coba kuat sih vanilla latte point coffee strong sih,positive
01/2024,"Fore, sampe pernah bilang : gw abis minum fore kok jd ngrasa agak ecstatic ya, jd kaya mendramatisir romantisasi perasaan sendiri.",fore bilang habis minum fore ngrasa agak ecstatic iya kaya mendramatisir romantisasi perasaan,negative
