Date,Text,Text Normalization,Sentimen
01/2024,"oiya,, kopken.. makasih. maaf ya gapteks nih, taunya point coffee doank, hehehe",oiya kopi kenangan terima kasih maaf gapteks taunya point coffee coffee doank hehehe,negative
01/2024,"it's always, kopi susu tetangga tuku, palm sugar latte less sugar point coffee, kopi kenangan mantan less sugar, kopi susu keluarga fami cafe, itu aja muter2 terus smbil sesekali diseling rasa baru or tmpat baru apa gtu wkwk",its always kopi susu tetangga tuku palm gula latte gula point coffee coffee kopi kenangan gula kopi susu keluarga fami cafe muter2 smbil diseling or tmpat gtu wkwk,positive
01/2024,Always latte kopi kenangan,always latte kopi kenangan,positive
01/2024,good day sama kopi kenangan,good day kopi kenangan,positive
01/2024,good day sama kopi kenangan sii,good day kopi kenangan sii,positive
01/2024,"kopken, point coffee, janjiw (tp yang oatside)",kopi kenangan point coffee coffee janjiw oatside,positive
01/2024,"gila, kopi kenangan ungu, baru white coffe",gila kopi kenangan ungu white coffe,positive
01/2024,Kopi kenangan,kopi kenangan,positive
01/2024,"Good day, kopi kenangan",good day kopi kenangan,positive
01/2024,"Kopi kenangan, kopiko , gooday",kopi kenangan kopiko gooday,neutral
01/2024,"Good day, kopi kenangan, nescafe",good day kopi kenangan nescafe,positive
01/2024,"Good day,abc,kopi kenangan",good dayabckopi kenangan,positive
01/2024,"Kopi kenangan, white koffie, nescafe",kopi kenangan white koffie nescafe,positive
01/2024,"Kopi kenangan yang Javanesia(?) yang item pokoknya, lupa variannya",kopi kenangan javanesia hitam pokoknya lupa variannya,positive
01/2024,kopi kenangan yg avocuddle,kopi kenangan avocuddle,positive
01/2024,"Tergantung isi dompet, kalo lagi mau irit golda, kalo lgi mau boros nescafe, kopi kenangan.",tergantung isi dompet irit golda boros nescafe kopi kenangan,positive
01/2024,Kopi kenangan ungu menang telak sih.,kopi kenangan ungu menang telak sih,positive
01/2024,"Kopi kenangan, 78",kopi kenangan 78,neutral
01/2024,Kopi Kenangan,kopi kenangan,positive
01/2024,Tora cafe sama kopi kenangan soalnya gak terlalu manis,tora cafe kopi kenangan gak manis,positive
01/2024,Kopi kenangan no debat,kopi kenangan debat,positive
01/2024,"enakan fore/kopken, yg janjiw tuh lebih kerasa susunya drpd matchanya",enakan forekopken janjiw tuh kerasa susunya matchanya,positive
01/2024,Urutan versi aku sih Lawson > Kopken > Point > Fore > janji jiwa,urutan versi sih lawson kopi kenangan point coffee fore janji jiwa,negative
01/2024,Enakan kopken / tomoro wkwk janjiw kurang berasa matchanya malah kek kebanyakan susu menurutku,enakan kopi kenangan tomoro wkwk janjiw berasa matchanya kebanyakan susu menurutku,positive
01/2024,"Luwak white kopi, good day, kopi kenangan",luwak white kopi good day kopi kenangan,positive
01/2024,"jujur msh enak kopken, fore tu kurang rasa matchanya",jujur enak kopi kenangan fore tu matchanya,positive
01/2024,"Matcha ya enakan arah coffee. Urutanku arah coffee > fore > kopken > point > janjiw. Banyak yang bilang point coffee enak, tapi ga seenak itu juga. Untuk ukuran matcha kurengggg. Kurang strong lah dibanding yang urutanku itu. Udah beli no sugar tapi dominan susunya",matcha enakan arah coffee urutanku arah coffee fore kopi kenangan point coffee janjiw bilang point coffee coffee enak seenak ukuran matcha kurengggg strong dibanding urutanku beli gula dominan susunya,negative
01/2024,"Aku nyobain poin ga enak manis banget pdhl udh minta less sugar matchanya g berasa samsek, cobain fore atau kopken kak itu enak matchanya berasa bgt",nyobain poin enak manis banget pdhl udah gula matchanya berasa cobain fore kopi kenangan kak enak matchanya berasa banget,positive
01/2024,Lebih enak kopken sama fore,enak kopi kenangan fore,positive
01/2024,"MATCHA ITU PALING ENAK PUNYA KOPI KENANGAN, YANG CAMPUR OATSIDE. WAJIB COBA!",matcha enak kopi kenangan campur oatside wajib coba,negative
01/2024,menu nya khusus kopi kenangan mantan aja kak kl pake promo jenius,menu nya kopi kenangan kak pakai promo jenius,neutral
01/2024,kopi kenangan mantan kak,kopi kenangan kak,positive
01/2024,Kalo aku as matcha lovers sih g suka walau diganti oatmilk tetep kurang bagi lidah ku. Lebih enakan fore/kopken/point/lawson.,as matcha lovers sih suka diganti oatmilk tetep lidah ku enakan forekopkenpointlawson,positive
01/2024,kopi kenangan matancino,kopi kenangan matancino,positive
01/2024,kopi kenangan gada kh,kopi kenangan gada kh,positive
01/2024,"dlu suka beli nescafe, tp stlh boycott dan lebih sering beli kopken/Fore no sugar gua jd ngerasa kopi ginian manis bgt sampe bikin eneg",suka beli nescafe boycott beli kopkenfore gula ngerasa kopi ginian manis banget bikin eneg,positive
01/2024,Kopi kenangan gula aren sih tetep,kopi kenangan gula aren sih tetep,positive
01/2024,"Ih nauuu, tp jarang ke kopi kenangan, terakhir ke sana taun lalu",ih nauuu jarang kopi kenangan,positive
01/2024,Enak keknya di celupin ke kopi kenangan mantan cocok nih,enak kayaknya celupin kopi kenangan cocok,positive
01/2024,Kopi kenangan/janji jiwa,kopi kenanganjanji jiwa,neutral
01/2024,"banyakk. fore, kopken, point, tomoro, tuku",banyakk fore kopi kenangan point coffee tomoro tuku,positive
01/2024,"Apa ya.. Excelso bisa kalo sukanya kopi yg duarr nendang mata, Fore kalo suka yg lebih light, kalo suka yg tengah2 bisa janji jiwa / kopi kenangan, yg kualitasnya masih suka beda antar gerai 1 sama lainnya kopi point / kopi jadoelnya beanspot",excelso sukanya kopi duarr nendang mata fore suka terang suka tengah2 janji jiwa kopi kenangan kualitasnya suka beda gerai 1 kopi point coffee kopi jadoelnya beanspot,positive
01/2024,"Point Coffee, Kopken, Janji Jiwa",point coffee coffee kopi kenangan janji jiwa,positive
01/2024,"Fore, point coffee, janjiw, kopi kenangan aku lebih sering di 4 ini nder",fore point coffee coffee janjiw kopi kenangan 4,positive
01/2024,"Point coffee, Fore, Tuku, Kopken. Menurutku lbh enak mereka dripada s buxxx",point coffee coffee fore tuku kopi kenangan menurutku lbh enak dripada s buxxx,positive
01/2024,"POINT COFFE, Fore, Kopken, Jco, Janji jiwa.",point coffee coffe fore kopi kenangan jco janji jiwa,negative
