Text,Normalized_Text_NLTK,Normalized_Text_Sastrawi,Normalized_Text_Spacy,Normalized_Text_TextBlob
Fore dihati,fore dihati,fore hati,fore dihati,fore dihatus
"Biasa pesen latte no sugar, menu terenak di fore menurutku itu double shaken latte!",pesen latte no sugar menu terenak fore menurutku double shaken latte,biasa sen latte no sugar menu enak di fore turut itu double shaken latte,biasa pesen latte sugar menu terenak di fore menurutku itu double shake latte,biasa pesen latte no sugar menu terenak di fore menurutku itu double shaken latte
Aku tim point coffee,tim point coffee,aku tim point coffee,aku tim point coffee,aku tim point coffee
"Masih banyak sih, tapi rata-rata fore",sih ratarata fore,masih banyak sih tapi rata fore,masih banyak sih tapi rata rata fore,masih banyak sih tapus rata-ratum fore
yg terakhir dalgona berkedok fore,yg dalgona berkedok fore,yg akhir dalgona kedok fore,yg terakhir dalgona berkedok fore,yg terakhir dalgona berkedok fore
Coffee fav Ice blackcoffee - kopi kenangan (enak&murah) Hot Cappucino - Sushi Tei Cafe (enak banget),coffee fav ice blackcoffee kopi kenangan enakmurah hot cappucino sushi tei cafe enak banget,coffee fav ice blackcoffee - kopi kenang enak murah hot cappucino - sushi tei cafe enak banget,coffee fav ice blackcoffee kopi kenangan hot cappucino sushi tei cafe enak banget,coffee fav ice blackcoffee kopus kenangan enak murah hot cappucino sushi tei cafe enak banget
"Setuju Aku abis nyoba point coffee, malemnya ga bisa tidur. Alhasil melek sampe pagi",setuju abis nyoba point coffee malemnya ga tidur alhasil melek sampe pagi,tuju aku abis nyoba point coffee malemnya ga bisa tidur alhasil melek sampe pagi,setuju aku abis nyoba point coffee malemnya ga bisa tidur alhasil melek sampe pagi,setuju aku abis nyoba point coffee malemnya ga bisa tidur alhasil melek sampe pagi
"Aku sukaaa 8/10 lah, dan sekarang pengen nyempetin coba matchanya fore",sukaaa pengen nyempetin coba matchanya fore,aku sukaaa 8 10 lah dan sekarang ken nyempetin coba matchanya fore,aku sukaaa lah dan sekarang pengen nyempetin coba matchanya fore,aku sukaaa 8/10 lah dan sekarang pengen nyempetin coba matchanya fore
"Imo, sangat amat b aja untuk harga segitu apa mungkin gue salah mesen menu kali ya harusnya dpt yg enakan si. Tp kaum mensang mending macem ak, mendingan jajan fore kemana2 heu",imo b aja harga segitu gue salah mesen menu kali ya dpt yg enakan si tp kaum mensang mending macem ak mendingan jajan fore kemana heu,imo sangat amat b aja untuk harga segitu apa mungkin gue salah mesen menu kali ya harus dpt yg enak si tp kaum sang mending macem ak mending jajan fore kemana2 heu,imo sangat amat b aja untuk harga segitu apa mungkin gue salah mesen menu kali ya harusnya dpt yg enakan si tp kaum mensang mending macem ak mendingan jajan fore heu,imo sangat amat b aja untuk harga segitu apa mungkin gue salah mesen menu kali ya harusnya dpt yg enakan si tp kaum mensang mending macem ak mendingan jajan fore kemana2 heu
Same heree Point coffee ternyata enakk,same heree point coffee enakk,same heree point coffee nyata enakk,heree point coffee ternyata enakk,same heree point coffee ternyatum enakk
ini point coffee yg rasa apa nder?,point coffee yg nder,ini point coffee yg rasa apa nder,ini point coffee yg rasa apa nder,ini point coffee yg rasa apa nder
Sama point coffee jugaa tapi ini kopi saku wkwk,point coffee jugaa kopi saku wkwk,sama point coffee jugaa tapi ini kopi saku wkwk,sama point coffee jugaa tapi ini kopi saku wkwk,sama point coffee jugaa tapus ini kopus saku wkwk
Enak banget caramel machiato nya point coffee,enak banget caramel machiato nya point coffee,enak banget caramel machiato nya point coffee,enak banget caramel machiato nya point coffee,enak banget caramel machiato nya point coffee
Buset 27 rebu mending point coffee langsung nder lebih enak :'),buset rebu mending point coffee langsung nder enak,buset 27 rebu mending point coffee langsung nder lebih enak,buset rebu mend point coffee langsung nder lebih enak,buset 27 rebu mending point coffee langsung nder lebih enak
"abis gofood fore. finally ga classic latte lagi wkwk masa tiap beli kopi di fore classic latte mulu, keluar dr zona nyaman nyobain buterscotch sea salt latte kiww ternyata enakkk.",abis gofood fore finally ga classic latte wkwk beli kopi fore classic latte mulu dr zona nyaman nyobain buterscotch sea salt latte kiww enakkk,abis gofood fore finally ga classic latte lagi wkwk masa tiap beli kopi di fore classic latte mulu keluar dr zona nyaman nyobain buterscotch sea salt latte kiww nyata enakkk,abis gofood fore finally ga classic latte lagi wkwk masa tiap beli kopi di fore classic latte mulu keluar dr zona nyaman nyobain buterscotch sea salt latte kiww ternyata enakkk,abis gofood fore finally ga classic latte lagi wkwk masa tiap beli kopus di fore classic latte mulu keluar dr zona nyaman nyobain buterscotch sea salt latte kiww ternyatum enakkk
"gue juga lagi. baper sama mas² tomoro coffe. saking seringnya nugas disana, sampe dikenal padahal saat itu gue lagi gk pake kerudung krn take away",gue baper ma tomoro coffe saking nugas disana sampe dikenal gue gk pake kerudung krn take away,gue juga lagi baper sama mas tomoro coffe saking sering nugas sana sampe kenal padahal saat itu gue lagi gk pake kerudung krn take away,gue juga lagi baper sama tomoro coffe sake seringnya nugas disana sampe dikenal padahal saat itu gue lagi gk pake kerudung krn away,gue juga lagi baper sama mas² tomoro coffe saking seringnya nuga disana sampe dikenal padahal saat itu gue lagi gk pake kerudung krn take away
Pandan latte sih kalau fore mah,pandan latte sih fore mah,pandan latte sih kalau fore mah,pandan latte sih kalau fore mah,pandan latte sih kalau fore mah
gak akan bosen menyarankan butterscotch sea salt latte nya fore juaraaakkkk,gak bosen menyarankan butterscotch sea salt latte nya fore juaraaakkkk,gak akan bosen saran butterscotch sea salt latte nya fore juaraaakkkk,gak akan bosen menyarankan butterscotch sea salt latte nya fore juaraaakkkk,gak akan bosen menyarankan butterscotch sea salt latte nya fore juaraaakkkk
