User;Text;Date;Tweet Link;Media Links;Reply To;Target;Mentions
@Lazysundaymorn_;Tuku kopi tetangga Fore lupa yg ada seasalt Konnichiwa Sapporo Djournal coklat tapi kopi lupa yg mana Kulo yg ada cheesecream Goldenblack kayaknya apa aja enak;2024-05-03T23:59:14.000Z;https://x.com/Lazysundaymorn_/status/1786546087073038411;[];@FOODFESS2;@Lazysundaymorn_;[]
@telorbuletsip;Tuku, fore, point;2024-05-03T23:58:58.000Z;https://x.com/telorbuletsip/status/1786546019767042184;[];@FOODFESS2;@telorbuletsip;[]
@vantexlhk;tuku, fore, ud djaya;2024-05-03T22:55:27.000Z;https://x.com/vantexlhk/status/1786530038134804520;[];@FOODFESS2;@vantexlhk;[]
@dearzadh;fore, tuku, tomoro!!!!!!!!;2024-05-03T22:34:29.000Z;https://x.com/dearzadh/status/1786524762145186298;[];@FOODFESS2;@dearzadh;[]
@heyarnita;- Fore - Point - Janji Jiwa;2024-05-03T22:31:33.000Z;https://x.com/heyarnita/status/1786524023721222605;[];@FOODFESS2;@heyarnita;[]
@NANNOHAHAHAHA;Kopken, fore, janjiw For their americano sii, menu lain ga tau;2024-05-03T19:43:43.000Z;https://x.com/NANNOHAHAHAHA/status/1786481786635120699;[];@FOODFESS2;@NANNOHAHAHAHA;[]
@schoneblume9;Kalo aku fore suka yg caramel praline macchiato.;2024-05-03T18:08:49.000Z;https://x.com/schoneblume9/status/1786457904457101442;[];@matchachocolo;@schoneblume9;[]
@Cannorawrr;"Fore, xxi, indopoint:kopken(?) sama sbnrnya stuja jg sip tp ga bnyak cabang tomoro jg yg disuka matcha""annya, tuku&golden black blm prnh cb tp kepo";2024-05-03T17:45:50.000Z;https://x.com/Cannorawrr/status/1786452120331530729;[];@FOODFESS2;@Cannorawrr;[]
@Hwru__;sejauh ini masih fore dihati;2024-05-03T17:29:00.000Z;https://x.com/Hwru__/status/1786447883333710077;[];@FOODFESS2;@Hwru__;[]
@rizal_septyan;Fore Tuku Kenangan;2024-05-03T17:17:44.000Z;https://x.com/rizal_septyan/status/1786445047921348773;[];@FOODFESS2;@rizal_septyan;[]
@snoozearea;calf, fore, tuku;2024-05-03T16:42:26.000Z;https://x.com/snoozearea/status/1786436163663998981;[];@FOODFESS2;@snoozearea;[]
@titaaaap;1. Couvee 2. Tuku 3. Indopoint 4. Fore;2024-05-03T16:35:44.000Z;https://x.com/titaaaap/status/1786434476790399031;[];@FOODFESS2;@titaaaap;[]
@minholly_lovely;Calf, tuku, fore. Excelso tp mahal wkwkwk;2024-05-03T15:35:34.000Z;https://x.com/minholly_lovely/status/1786419336980447345;[];@FOODFESS2;@minholly_lovely;[]
@ailurophilos;Tuku, fore, point coffee;2024-05-03T15:29:25.000Z;https://x.com/ailurophilos/status/1786417790146273600;[];@FOODFESS2;@ailurophilos;[]
@pacarjeffrey;jd makin penasaran sm tuku, fore otw cobain ahh;2024-05-03T15:27:14.000Z;https://x.com/pacarjeffrey/status/1786417237215297605;[];@FOODFESS2;@pacarjeffrey;[]
@la_lalijah;Tuku, XXI (maaf bgt soalnya emg kopi pandannya enak betul), dan Fore;2024-05-03T15:15:38.000Z;https://x.com/la_lalijah/status/1786414320643174487;[];@FOODFESS2;@la_lalijah;[]
@RadenRomeo_;Kopken, couvee, sama point. Skip dulu fore kalo lagi tanggal tua;2024-05-03T15:12:07.000Z;https://x.com/RadenRomeo_/status/1786413436836237570;[];@FOODFESS2;@RadenRomeo_;[]
@ghigitt;Tuku, fore, tomoro/point coffe dah;2024-05-03T15:03:05.000Z;https://x.com/ghigitt/status/1786411160805486800;[];@FOODFESS2;@ghigitt;[]
@llybarrow;makjay, fore, kawan;2024-05-03T15:01:42.000Z;https://x.com/llybarrow/status/1786410815144480885;[];@FOODFESS2;@llybarrow;[]
@Ermawulanda;Fore, tuku, fore;2024-05-03T15:01:10.000Z;https://x.com/Ermawulanda/status/1786410680423522571;[];@FOODFESS2;@Ermawulanda;[]
@itsmepipik;fore, point dan pengen nyobain tuku knp blm ada di jogja;2024-05-03T14:55:39.000Z;https://x.com/itsmepipik/status/1786409289323802779;[];@FOODFESS2;@itsmepipik;[]
@hrw1004;Kopi kenangan, point coffe, fore;2024-05-03T14:54:49.000Z;https://x.com/hrw1004/status/1786409081793904879;[];@FOODFESS2;@hrw1004;[]
@lyycheeaa;kopken, fore, flash coffee banyak si sebenernya;2024-05-03T14:50:49.000Z;https://x.com/lyycheeaa/status/1786408074821165185;[];@FOODFESS2;@lyycheeaa;[]
@sukassukaaja;Fore, tuku, point coffee;2024-05-03T14:34:57.000Z;https://x.com/sukassukaaja/status/1786404082317685092;[];@FOODFESS2;@sukassukaaja;[]
@jnymine;1. Fore 2. Tuku 3. Kopi bawah tangga;2024-05-03T14:31:29.000Z;https://x.com/jnymine/status/1786403210032468242;[];@FOODFESS2;@jnymine;[]
Zara | ig @arz.journal;Tuku, fore, kopi kemenangan;2024-05-03T14:29:18.000Z;https://x.com/cicaffeine/status/1786402660490567806;['https://pbs.twimg.com/media/GMqTvcMaYAAdgC1?format=jpg&name=900x900'];@FOODFESS2;Zara | ig @arz.journal;[]
@iamdaredevil_1;fore, tuku, kopken. Btw tomoro gEnak hwek;2024-05-03T14:29:10.000Z;https://x.com/iamdaredevil_1/status/1786402626596372601;[];@FOODFESS2;@iamdaredevil_1;[]
