User,Text,Date,Tweet Link,Media Links,Reply To,Target,Mentions,source_file
@Lazysundaymorn_,Tuku kopi tetangga Fore lupa yg ada seasalt Konnichiwa Sapporo Djournal coklat tapi kopi lupa yg mana Kulo yg ada cheesecream Goldenblack kayaknya apa aja enak,2024-05-03T23:59:14.000Z,https://x.com/Lazysundaymorn_/status/1786546087073038411,[],@FOODFESS2,@Lazysundaymorn_,[],fore-hasil-crawling-03-april.csv
@telorbuletsip,"Tuku, fore, point",2024-05-03T23:58:58.000Z,https://x.com/telorbuletsip/status/1786546019767042184,[],@FOODFESS2,@telorbuletsip,[],fore-hasil-crawling-03-april.csv
@vantexlhk,"tuku, fore, ud djaya",2024-05-03T22:55:27.000Z,https://x.com/vantexlhk/status/1786530038134804520,[],@FOODFESS2,@vantexlhk,[],fore-hasil-crawling-03-april.csv
@dearzadh,"fore, tuku, tomoro!!!!!!!!",2024-05-03T22:34:29.000Z,https://x.com/dearzadh/status/1786524762145186298,[],@FOODFESS2,@dearzadh,[],fore-hasil-crawling-03-april.csv
@heyarnita,- Fore - Point - Janji Jiwa,2024-05-03T22:31:33.000Z,https://x.com/heyarnita/status/1786524023721222605,[],@FOODFESS2,@heyarnita,[],fore-hasil-crawling-03-april.csv
@NANNOHAHAHAHA,"Kopken, fore, janjiw For their americano sii, menu lain ga tau",2024-05-03T19:43:43.000Z,https://x.com/NANNOHAHAHAHA/status/1786481786635120699,[],@FOODFESS2,@NANNOHAHAHAHA,[],fore-hasil-crawling-03-april.csv
@schoneblume9,Kalo aku fore suka yg caramel praline macchiato.,2024-05-03T18:08:49.000Z,https://x.com/schoneblume9/status/1786457904457101442,[],@matchachocolo,@schoneblume9,[],fore-hasil-crawling-03-april.csv
@Cannorawrr,"Fore, xxi, indopoint:kopken(?) sama sbnrnya stuja jg sip tp ga bnyak cabang tomoro jg yg disuka matcha""annya, tuku&golden black blm prnh cb tp kepo",2024-05-03T17:45:50.000Z,https://x.com/Cannorawrr/status/1786452120331530729,[],@FOODFESS2,@Cannorawrr,[],fore-hasil-crawling-03-april.csv
@Hwru__,sejauh ini masih fore dihati,2024-05-03T17:29:00.000Z,https://x.com/Hwru__/status/1786447883333710077,[],@FOODFESS2,@Hwru__,[],fore-hasil-crawling-03-april.csv
@rizal_septyan,Fore Tuku Kenangan,2024-05-03T17:17:44.000Z,https://x.com/rizal_septyan/status/1786445047921348773,[],@FOODFESS2,@rizal_septyan,[],fore-hasil-crawling-03-april.csv
